cty,Name,Individual_income_For_Children_Born_in_1978_rP_gM_p25
cty01013,"Butler County, AL",24180.355
cty13169,"Jones County, GA",24130.381
cty01061,"Geneva County, AL",24086.691
cty05009,"Boone County, AR",24079.316
cty01015,"Calhoun County, AL",24061.152
cty18035,"Delaware County, IN",24047.252
cty01031,"Coffee County, AL",23983.4
cty01131,"Wilcox County, AL",23915.666
cty13165,"Jenkins County, GA",23850.297
cty01109,"Pike County, AL",23840.205
cty01055,"Etowah County, AL",23833.6
cty01033,"Colbert County, AL",23810.189
cty13231,"Pike County, GA",23800.859
cty01107,"Pickens County, AL",23798.119
cty17201,"Winnebago County, IL",23785.844
cty01035,"Conecuh County, AL",23753.709
cty04017,"Navajo County, AZ",23713.654
cty18043,"Floyd County, IN",23668.143
cty18003,"Allen County, IN",23662.928
cty05003,"Ashley County, AR",23469.719
cty01091,"Marengo County, AL",23447.021
cty01121,"Talladega County, AL",23417.883
cty13179,"Liberty County, GA",23412.828
cty13149,"Heard County, GA",23312.754
cty18067,"Howard County, IN",23192.145
cty13221,"Oglethorpe County, GA",23176.662
cty18177,"Wayne County, IN",23160.543
cty13155,"Irwin County, GA",23123.189
cty01097,"Mobile County, AL",23108.08
cty13233,"Polk County, GA",23014.686
cty02270,,23002.996
cty01103,"Morgan County, AL",22901.307
cty01067,"Henry County, AL",22880.105
cty13157,"Jackson County, GA",22760.035
cty13213,"Murray County, GA",22678.594
cty13153,"Houston County, GA",22630.416
cty01005,"Barbour County, AL",22614.82
cty18095,"Madison County, IN",22564.877
cty13189,"McDuffie County, GA",22545.063
cty01125,"Tuscaloosa County, AL",22526.867
cty13175,"Laurens County, GA",22495.66
cty01069,"Houston County, AL",22245.564
cty18041,"Fayette County, IN",22112.219
cty01123,"Tallapoosa County, AL",22109.844
cty18053,"Grant County, IN",22105.816
cty04001,"Apache County, AZ",22021.043
cty01083,"Limestone County, AL",22019.752
cty01073,"Jefferson County, AL",22002.953
cty01119,"Sumter County, AL",21958.918
cty01063,"Greene County, AL",21894.354
cty13185,"Lowndes County, GA",21833.389
cty05001,"Arkansas County, AR",21799.152
cty01105,"Perry County, AL",21488.299
cty05011,"Bradley County, AR",21466.545
cty01011,"Bullock County, AL",21330.332
cty13159,"Jasper County, GA",21211.092
cty01081,"Lee County, AL",21169.344
cty01089,"Madison County, AL",21110.721
cty01047,"Dallas County, AL",20908.023
cty01017,"Chambers County, AL",20868.648
cty05017,"Chicot County, AR",20844.662
cty01113,"Russell County, AL",20765.451
cty18097,"Marion County, IN",20763.154
cty01101,"Montgomery County, AL",20682.949
cty02050,"Bethel Census Area, AK",20515.1
cty13163,"Jefferson County, GA",19418.314
cty01085,"Lowndes County, AL",18777.045
cty01087,"Macon County, AL",18694.863
cty02130,"Ketchikan Gateway Borough, AK",
cty02150,"Kodiak Island Borough, AK",
cty02188,"Northwest Arctic Borough, AK",
cty04011,"Greenlee County, AZ",
cty05023,"Cleburne County, AR",27089.109
cty05025,"Cleveland County, AR",
cty05047,"Franklin County, AR",32344.949
cty05105,"Perry County, AR",28473.33
cty05071,"Johnson County, AR",28326.225
cty05081,"Little River County, AR",28321.102
cty05087,"Madison County, AR",28178.924
cty05033,"Crawford County, AR",28044.016
cty05113,"Polk County, AR",27763.436
cty05115,"Pope County, AR",27558.209
cty05109,"Pike County, AR",26875.885
cty05101,"Newton County, AR",26804.154
cty05121,"Randolph County, AR",26757.809
cty05075,"Lawrence County, AR",26548.502
cty05029,"Conway County, AR",26346.17
cty05083,"Logan County, AR",26049.416
cty05063,"Independence County, AR",26039.82
cty05089,"Marion County, AR",25942.445
cty05099,"Nevada County, AR",25606.693
cty05055,"Greene County, AR",25501.332
cty05045,"Faulkner County, AR",25132.574
cty05079,"Lincoln County, AR",24746.789
cty05059,"Hot Spring County, AR",24570.061
cty05111,"Poinsett County, AR",24360.35
cty05027,"Columbia County, AR",24297.045
cty05049,"Fulton County, AR",24225.592
cty05095,"Monroe County, AR",24141.629
cty05053,"Grant County, AR",24084.166
cty05039,"Dallas County, AR",24046.156
cty05091,"Miller County, AR",23765.576
cty05057,"Hempstead County, AR",23533.389
cty05065,"Izard County, AR",23505.646
cty05037,"Cross County, AR",23445.607
cty05031,"Craighead County, AR",23436.303
cty05085,"Lonoke County, AR",23197.59
cty05061,"Howard County, AR",23125.373
cty05043,"Drew County, AR",22722.707
cty05051,"Garland County, AR",22452.102
cty05103,"Ouachita County, AR",22269.324
cty05041,"Desha County, AR",21566.055
cty05093,"Mississippi County, AR",21455.299
cty05119,"Pulaski County, AR",21298.141
cty05067,"Jackson County, AR",21007.643
cty05123,"St. Francis County, AR",20611.785
cty05069,"Jefferson County, AR",19445.99
cty05035,"Crittenden County, AR",19290.971
cty05073,"Lafayette County, AR",
cty05107,"Phillips County, AR",18691.799
cty05077,"Lee County, AR",15872.333
cty05097,"Montgomery County, AR",
cty05117,"Prairie County, AR",
cty06043,"Mariposa County, CA",32605.506
cty06055,"Napa County, CA",30758.076
cty06041,"Marin County, CA",30442.525
cty06017,"El Dorado County, CA",30417.537
cty06025,"Imperial County, CA",29539.275
cty06011,"Colusa County, CA",29112.592
cty06005,"Amador County, CA",28983.459
cty05125,"Saline County, AR",25393.309
cty05127,"Scott County, AR",24616.557
cty05129,"Searcy County, AR",
cty06029,"Kern County, CA",30466.672
cty06035,"Lassen County, CA",30380.48
cty06027,"Inyo County, CA",30051.609
cty06059,"Orange County, CA",30045.797
cty06061,"Placer County, CA",30003.439
cty06075,"San Francisco County, CA",29839.92
cty06079,"San Luis Obispo County, CA",28856.936
cty06053,"Monterey County, CA",28779.51
cty06073,"San Diego County, CA",28773.191
cty06039,"Madera County, CA",28736.061
cty06037,"Los Angeles County, CA",28637.275
cty05141,"Van Buren County, AR",28569.758
cty06057,"Nevada County, CA",28447.994
cty05133,"Sevier County, AR",28337.072
cty06069,"San Benito County, CA",28009.523
cty06013,"Contra Costa County, CA",27946.76
cty06065,"Riverside County, CA",27879.668
cty06071,"San Bernardino County, CA",27762.682
cty06047,"Merced County, CA",27637.752
cty05149,"Yell County, AR",27531.891
cty06001,"Alameda County, CA",27367.646
cty06077,"San Joaquin County, CA",27212.502
cty06031,"Kings County, CA",26752.594
cty06007,"Butte County, CA",26745.109
cty06067,"Sacramento County, CA",26527.754
cty05145,"White County, AR",26499.883
cty06023,"Humboldt County, CA",26409.869
cty06019,"Fresno County, CA",26387.664
cty06033,"Lake County, CA",26119.586
cty05143,"Washington County, AR",26089.092
cty05147,"Woodruff County, AR",25840.646
cty05135,"Sharp County, AR",25745.541
cty06009,"Calaveras County, CA",25236.9
cty06021,"Glenn County, CA",25004.996
cty05131,"Sebastian County, AR",24622.504
cty06045,"Mendocino County, CA",24554.346
cty05137,"Stone County, AR",23695.893
cty06015,"Del Norte County, CA",23601.988
cty05139,"Union County, AR",21350.803
cty06049,"Modoc County, CA",
cty06063,"Plumas County, CA",
cty08081,"Moffat County, CO",38627.563
cty08029,"Delta County, CO",37069.766
cty08093,"Park County, CO",35546.836
cty08071,"Las Animas County, CO",34819.281
cty08045,"Garfield County, CO",34815.828
cty08039,"Elbert County, CO",34785.473
cty08015,"Chaffee County, CO",33531.504
cty08085,"Montrose County, CO",32875.207
cty08075,"Logan County, CO",32861.438
cty08077,"Mesa County, CO",31931.287
cty06109,"Tuolumne County, CA",31706.545
cty06093,"Siskiyou County, CA",31632.896
cty08014,"Broomfield County, CO",31595.395
cty08099,"Prowers County, CO",31519.047
cty08035,"Douglas County, CO",31369.688
cty06081,"San Mateo County, CA",30406.875
cty08059,"Jefferson County, CO",30162.428
cty08043,"Fremont County, CO",30056.008
cty06097,"Sonoma County, CA",30026.047
cty08067,"La Plata County, CO",29775.416
cty06083,"Santa Barbara County, CA",29655.152
cty08069,"Larimer County, CO",29614.693
cty06111,"Ventura County, CA",29509.729
cty08083,"Montezuma County, CO",29454.773
cty08089,"Otero County, CO",29288.875
cty08003,"Alamosa County, CO",29042.994
cty08005,"Arapahoe County, CO",29028.594
cty06085,"Santa Clara County, CA",28714.033
cty08013,"Boulder County, CO",28500.969
cty06113,"Yolo County, CA",28453.119
cty06101,"Sutter County, CA",28308.699
cty06115,"Yuba County, CA",28299.146
cty08001,"Adams County, CO",27864.26
cty06087,"Santa Cruz County, CA",27830.285
cty06095,"Solano County, CA",27776.223
cty06089,"Shasta County, CA",27586.555
cty06099,"Stanislaus County, CA",27232.518
cty06103,"Tehama County, CA",27060.98
cty06105,"Trinity County, CA",
cty06107,"Tulare County, CA",27159.926
cty08007,"Archuleta County, CO",
cty08011,"Bent County, CO",
cty08021,"Conejos County, CO",
cty08087,"Morgan County, CO",28842.535
cty08041,"El Paso County, CO",26703.721
cty08031,"Denver County, CO",25724.07
cty08037,"Eagle County, CO",
cty08051,"Gunnison County, CO",
cty08055,"Huerfano County, CO",
cty08063,"Kit Carson County, CO",
cty08065,"Lake County, CO",
cty08125,"Yuma County, CO",34224.836
cty08119,"Teller County, CO",32012.74
cty12003,"Baker County, FL",31970.857
cty12029,"Dixie County, FL",31704.375
cty12035,"Flagler County, FL",31414.92
cty09013,"Tolland County, CT",31194.57
cty09005,"Litchfield County, CT",30189.25
cty12013,"Calhoun County, FL",29585.041
cty09007,"Middlesex County, CT",29506.242
cty09001,"Fairfield County, CT",29031.793
cty08123,"Weld County, CO",29017.137
cty09011,"New London County, CT",28432.74
cty09009,"New Haven County, CT",27773.541
cty09003,"Hartford County, CT",27608.832
cty09015,"Windham County, CT",27543.738
cty08105,"Rio Grande County, CO",27466.113
cty12021,"Collier County, FL",27359.541
cty12015,"Charlotte County, FL",26950.291
cty12017,"Citrus County, FL",26659.486
cty08101,"Pueblo County, CO",26644.584
cty08121,"Washington County, CO",
cty12049,"Hardee County, FL",28954.707
