cty,Name,Individual_income_For_Children_Born_in_1978_rP_gF_p100
cty06019,"Fresno County, CA",35760.836
cty06037,"Los Angeles County, CA",35714.531
cty06025,"Imperial County, CA",35612.121
cty06077,"San Joaquin County, CA",35449.316
cty06031,"Kings County, CA",35402.5
cty06061,"Placer County, CA",35366.246
cty05143,"Washington County, AR",35210.574
cty06017,"El Dorado County, CA",34806.75
cty06033,"Lake County, CA",34579.223
cty05145,"White County, AR",33920.773
cty05147,"Woodruff County, AR",
cty05149,"Yell County, AR",
cty06001,"Alameda County, CA",37223.477
cty06005,"Amador County, CA",36120.809
cty06021,"Glenn County, CA",34142.555
cty06071,"San Bernardino County, CA",33678.66
cty06029,"Kern County, CA",33599.559
cty06007,"Butte County, CA",33289.609
cty06009,"Calaveras County, CA",29637.08
cty06011,"Colusa County, CA",
cty06013,"Contra Costa County, CA",38007.672
cty06057,"Nevada County, CA",33397.977
cty06045,"Mendocino County, CA",33200.574
cty06065,"Riverside County, CA",32926.23
cty06079,"San Luis Obispo County, CA",32608.391
cty06069,"San Benito County, CA",32592.625
cty06035,"Lassen County, CA",32337.736
cty06027,"Inyo County, CA",32011.432
cty06023,"Humboldt County, CA",31960.762
cty06039,"Madera County, CA",31801.043
cty06015,"Del Norte County, CA",26911.73
cty06043,"Mariposa County, CA",
cty06049,"Modoc County, CA",
cty06063,"Plumas County, CA",
cty08075,"Logan County, CO",42577.176
cty06081,"San Mateo County, CA",40181.242
cty08037,"Eagle County, CO",38128.652
cty06085,"Santa Clara County, CA",37469.902
cty08005,"Arapahoe County, CO",37058.129
cty06113,"Yolo County, CA",36325.277
cty06095,"Solano County, CA",36015.754
cty08059,"Jefferson County, CO",35924.512
cty08031,"Denver County, CO",35919.043
cty08089,"Otero County, CO",35834.082
cty06087,"Santa Cruz County, CA",35758.598
cty08001,"Adams County, CO",35750.941
cty08045,"Garfield County, CO",35581.277
cty06107,"Tulare County, CA",35571.508
cty06093,"Siskiyou County, CA",35343.168
cty06097,"Sonoma County, CA",35329.43
cty06111,"Ventura County, CA",35103.598
cty06083,"Santa Barbara County, CA",34896.422
cty08067,"La Plata County, CO",34762.273
cty06101,"Sutter County, CA",34592.277
cty08014,"Broomfield County, CO",34583.539
cty06089,"Shasta County, CA",33677.781
cty06099,"Stanislaus County, CA",33525.277
cty06103,"Tehama County, CA",32895.652
cty06105,"Trinity County, CA",
cty08035,"Douglas County, CO",34423.703
cty08041,"El Paso County, CO",34074.375
cty08093,"Park County, CO",33439.695
cty08013,"Boulder County, CO",33429.035
cty06115,"Yuba County, CA",33112.184
cty08043,"Fremont County, CO",33036.074
cty08039,"Elbert County, CO",32226.844
cty06109,"Tuolumne County, CA",31396.098
cty08003,"Alamosa County, CO",
cty08007,"Archuleta County, CO",
cty08011,"Bent County, CO",
cty08015,"Chaffee County, CO",
cty08021,"Conejos County, CO",
cty08069,"Larimer County, CO",33223.105
