cty,Name,Individual_income_For_Children_Born_in_1978_rP_gM_p50
cty08081,"Moffat County, CO",40903.895
cty01037,"Coosa County, AL",34991.57
cty01007,"Bibb County, AL",34341.723
cty01075,"Lamar County, AL",34194.57
cty01021,"Chilton County, AL",34013.652
cty01057,"Fayette County, AL",33741.047
cty13229,"Pierce County, GA",33731.277
cty01065,"Hale County, AL",33102.605
cty01019,"Cherokee County, AL",32963.945
cty01035,"Conecuh County, AL",32584
cty13231,"Pike County, GA",32336.428
cty01029,"Cleburne County, AL",32045.563
cty01041,"Crenshaw County, AL",31952.242
cty01027,"Clay County, AL",31865.955
cty01079,"Lawrence County, AL",31722.318
cty13177,"Lee County, GA",31693.244
cty13235,"Pulaski County, GA",31644.221
cty13197,"Marion County, GA",31629.729
cty01009,"Blount County, AL",31629.375
cty01053,"Escambia County, AL",31541.547
cty13223,"Paulding County, GA",31330.939
cty13173,"Lanier County, GA",31013.697
cty01071,"Jackson County, AL",31006.523
cty13219,"Oconee County, GA",30967.25
cty13195,"Madison County, GA",30866.377
cty01061,"Geneva County, AL",30829.588
cty13161,"Jeff Davis County, GA",30564.016
cty01095,"Marshall County, AL",30441.053
cty13241,"Rabun County, GA",30386.498
cty01049,"DeKalb County, AL",30252.973
cty01025,"Clarke County, AL",30180.068
cty01013,"Butler County, AL",30077.475
cty01063,"Greene County, AL",30009.375
cty01043,"Cullman County, AL",29990.59
cty01051,"Elmore County, AL",29987.086
cty01093,"Marion County, AL",29970.77
cty01003,"Baldwin County, AL",29900.74
cty13183,"Long County, GA",29743.963
cty13167,"Johnson County, GA",29739.854
cty01045,"Dale County, AL",29715.533
cty01039,"Covington County, AL",29684.559
cty01001,"Autauga County, AL",29495.121
cty01015,"Calhoun County, AL",29416.604
cty13151,"Henry County, GA",29344.822
cty01033,"Colbert County, AL",29330.553
cty01059,"Franklin County, AL",29264.732
cty01031,"Coffee County, AL",29149.863
cty13221,"Oglethorpe County, GA",29125.438
cty01099,"Monroe County, AL",28933.42
cty01067,"Henry County, AL",28847.934
cty13247,"Rockdale County, GA",28819.4
cty01055,"Etowah County, AL",28812.578
cty13149,"Heard County, GA",28655.537
cty13233,"Polk County, GA",28518.822
cty13171,"Lamar County, GA",28420.928
cty01077,"Lauderdale County, AL",28375.521
cty13153,"Houston County, GA",28296.412
cty13157,"Jackson County, GA",28269.781
cty13169,"Jones County, GA",28216.893
cty01103,"Morgan County, AL",28065.172
cty13155,"Irwin County, GA",27864.32
cty01023,"Choctaw County, AL",27816.457
cty13207,"Monroe County, GA",27807.053
cty13179,"Liberty County, GA",27804.355
cty13175,"Laurens County, GA",27797.451
cty01083,"Limestone County, AL",27782.07
cty01069,"Houston County, AL",27776.803
cty13187,"Lumpkin County, GA",27684.502
cty13189,"McDuffie County, GA",27662.592
cty13227,"Pickens County, GA",27657.434
cty13205,"Mitchell County, GA",27554.949
cty01097,"Mobile County, AL",27485.729
cty13211,"Morgan County, GA",27414.828
cty01073,"Jefferson County, AL",27213.391
cty13213,"Murray County, GA",27125.777
cty01091,"Marengo County, AL",26723.932
cty13185,"Lowndes County, GA",26625.414
cty13159,"Jasper County, GA",26563.248
cty01005,"Barbour County, AL",26331.68
cty01089,"Madison County, AL",26233.326
cty01081,"Lee County, AL",26123.602
cty01101,"Montgomery County, AL",26079.486
cty13217,"Newton County, GA",26000.113
cty13255,"Spalding County, GA",25915.838
cty13237,"Putnam County, GA",25701.506
cty13215,"Muscogee County, GA",25619.479
cty13251,"Screven County, GA",25606.182
cty01017,"Chambers County, AL",25532.26
cty13165,"Jenkins County, GA",25462.414
cty13199,"Meriwether County, GA",25099.734
cty01087,"Macon County, AL",25010.814
cty01047,"Dallas County, AL",24805.734
cty01011,"Bullock County, AL",24534.359
cty13245,"Richmond County, GA",24292.166
cty13163,"Jefferson County, GA",23431.818
cty13225,"Peach County, GA",23348.789
cty13181,"Lincoln County, GA",22702.447
cty13193,"Macon County, GA",22112.801
cty01085,"Lowndes County, AL",20017.461
cty01105,"Perry County, AL",
cty02122,"Kenai Peninsula Borough, AK",38983.973
cty02170,"Matanuska-Susitna Borough, AK",37750.816
cty02110,"Juneau City and Borough, AK",36337.863
cty02150,"Kodiak Island Borough, AK",34753.383
cty02090,"Fairbanks North Star Borough, AK",34523.887
cty04012,"La Paz County, AZ",34112.23
cty04009,"Graham County, AZ",34053.512
cty02020,"Anchorage Municipality, AK",33617.105
cty04027,"Yuma County, AZ",33472.504
cty05021,"Clay County, AR",32894.652
cty01129,"Washington County, AL",32509.404
cty04007,"Gila County, AZ",32508.488
cty04025,"Yavapai County, AZ",32391.195
cty04015,"Mohave County, AZ",32373.119
cty01111,"Randolph County, AL",32337.994
cty04003,"Cochise County, AZ",32281.527
cty04013,"Maricopa County, AZ",32060.639
cty04021,"Pinal County, AZ",31891.77
cty04023,"Santa Cruz County, AZ",31823.805
cty01117,"Shelby County, AL",31596.689
cty04005,"Coconino County, AZ",31149.871
cty05015,"Carroll County, AR",30818.533
cty01133,"Winston County, AL",30768.889
cty05007,"Benton County, AR",30612.666
cty05005,"Baxter County, AR",30584.42
cty04019,"Pima County, AZ",30414.434
cty01127,"Walker County, AL",30334.906
cty05009,"Boone County, AR",29984.254
cty01115,"St. Clair County, AL",29934.982
cty05011,"Bradley County, AR",29453.252
cty05003,"Ashley County, AR",29441.588
cty05019,"Clark County, AR",29398.398
cty01109,"Pike County, AL",29338.197
cty01121,"Talladega County, AL",29248.568
cty05001,"Arkansas County, AR",28700.145
cty01123,"Tallapoosa County, AL",27964.039
cty04017,"Navajo County, AZ",27752.551
cty05017,"Chicot County, AR",27493.301
cty01125,"Tuscaloosa County, AL",27492.539
cty01131,"Wilcox County, AL",27416.896
cty01119,"Sumter County, AL",27166.008
cty01107,"Pickens County, AL",26467.695
cty02050,"Bethel Census Area, AK",25397.027
cty01113,"Russell County, AL",25286.021
cty02130,"Ketchikan Gateway Borough, AK",
cty02188,"Northwest Arctic Borough, AK",
cty04001,"Apache County, AZ",23641.512
cty02270,,23373.369
cty04011,"Greenlee County, AZ",
cty05025,"Cleveland County, AR",37053.781
cty05047,"Franklin County, AR",35393.41
cty05039,"Dallas County, AR",34335.293
cty05073,"Lafayette County, AR",33471.801
cty05029,"Conway County, AR",32965.059
cty05087,"Madison County, AR",32587.965
cty05083,"Logan County, AR",32292.172
cty05109,"Pike County, AR",32231.93
cty05079,"Lincoln County, AR",32098.918
cty05033,"Crawford County, AR",32075.783
cty05089,"Marion County, AR",31874.23
cty05115,"Pope County, AR",31828.178
cty05095,"Monroe County, AR",31604.852
cty05081,"Little River County, AR",31537.645
cty05075,"Lawrence County, AR",31507.889
cty05113,"Polk County, AR",31350.646
cty05049,"Fulton County, AR",31318.697
cty05023,"Cleburne County, AR",31165.857
cty05111,"Poinsett County, AR",31157.977
cty05071,"Johnson County, AR",31033.502
cty05055,"Greene County, AR",30799.313
cty05121,"Randolph County, AR",30436.203
cty05053,"Grant County, AR",30378.002
cty05063,"Independence County, AR",30236.08
cty05097,"Montgomery County, AR",30219.719
cty05045,"Faulkner County, AR",30131.463
cty05057,"Hempstead County, AR",29738.42
cty05105,"Perry County, AR",29464.326
cty05027,"Columbia County, AR",29449.531
cty05099,"Nevada County, AR",29412.637
