cty,Name,Individual_income_For_Children_Born_in_1978_rP_gM_p50
cty05091,"Miller County, AR",29295.629
cty05085,"Lonoke County, AR",28897.605
cty05037,"Cross County, AR",28724.475
cty05059,"Hot Spring County, AR",28641.17
cty05101,"Newton County, AR",28413.945
cty05051,"Garland County, AR",28210.385
cty05065,"Izard County, AR",27785.547
cty05031,"Craighead County, AR",27773.506
cty05061,"Howard County, AR",26957.914
cty05043,"Drew County, AR",26502.418
cty05119,"Pulaski County, AR",26292.426
cty05093,"Mississippi County, AR",26267.063
cty05103,"Ouachita County, AR",26093.09
cty05041,"Desha County, AR",25729.635
cty05067,"Jackson County, AR",25278.645
cty05069,"Jefferson County, AR",24835.566
cty05035,"Crittenden County, AR",24592.383
cty05123,"St. Francis County, AR",24244.879
cty05107,"Phillips County, AR",23887
cty05077,"Lee County, AR",20504.027
cty05117,"Prairie County, AR",
cty08029,"Delta County, CO",39665.895
cty08045,"Garfield County, CO",37405.344
cty08071,"Las Animas County, CO",37319.02
cty08093,"Park County, CO",36678.582
cty08051,"Gunnison County, CO",36270.098
cty08039,"Elbert County, CO",36264.117
cty08015,"Chaffee County, CO",35963.91
cty06043,"Mariposa County, CA",35166.535
cty08077,"Mesa County, CO",35118.645
cty08075,"Logan County, CO",35118.172
cty06049,"Modoc County, CA",35036.961
cty08085,"Montrose County, CO",35017.453
cty06035,"Lassen County, CA",34956.688
cty08014,"Broomfield County, CO",34917.344
cty06109,"Tuolumne County, CA",34748.938
cty08035,"Douglas County, CO",34620.664
cty06093,"Siskiyou County, CA",34240.5
cty08083,"Montezuma County, CO",34180.109
cty08099,"Prowers County, CO",34175.684
cty08037,"Eagle County, CO",34141.699
cty08043,"Fremont County, CO",33719.598
cty08059,"Jefferson County, CO",33622.605
cty06081,"San Mateo County, CA",33463.465
cty08087,"Morgan County, CO",33368.742
cty08067,"La Plata County, CO",33177.957
cty08089,"Otero County, CO",33075.594
cty06097,"Sonoma County, CA",32905.219
cty08003,"Alamosa County, CO",32874.539
cty08005,"Arapahoe County, CO",32701.121
cty06115,"Yuba County, CA",32684.752
cty06111,"Ventura County, CA",32582.355
cty08069,"Larimer County, CO",32472.129
cty08001,"Adams County, CO",32173.932
cty06113,"Yolo County, CA",32159.463
cty06083,"Santa Barbara County, CA",32003.334
cty06085,"Santa Clara County, CA",31718.777
cty08013,"Boulder County, CO",31652.895
cty06101,"Sutter County, CA",31574.705
cty06089,"Shasta County, CA",31525.654
cty06095,"Solano County, CA",31481.994
cty06087,"Santa Cruz County, CA",31177.963
cty08041,"El Paso County, CO",30758.254
cty06107,"Tulare County, CA",30594.924
cty06099,"Stanislaus County, CA",30436.471
cty06103,"Tehama County, CA",30241.162
cty06105,"Trinity County, CA",
cty08007,"Archuleta County, CO",
cty08011,"Bent County, CO",
cty08021,"Conejos County, CO",
cty08031,"Denver County, CO",29173.303
cty08055,"Huerfano County, CO",
cty08063,"Kit Carson County, CO",
cty08065,"Lake County, CO",
cty12029,"Dixie County, FL",39960.477
cty08125,"Yuma County, CO",37905.125
cty12003,"Baker County, FL",36363.906
cty09013,"Tolland County, CT",35797.227
cty09005,"Litchfield County, CT",34590.43
cty12059,"Holmes County, FL",34576.703
cty09007,"Middlesex County, CT",33930.723
cty12013,"Calhoun County, FL",33919.84
cty08105,"Rio Grande County, CO",33479.887
cty09011,"New London County, CT",33432.07
cty09001,"Fairfield County, CT",32859.406
cty12051,"Hendry County, FL",32829.617
cty08119,"Teller County, CO",32803.16
cty09015,"Windham County, CT",32708.932
cty09009,"New Haven County, CT",32326.037
cty12047,"Hamilton County, FL",32318.918
cty09003,"Hartford County, CT",32028.709
cty12049,"Hardee County, FL",31846.926
cty08123,"Weld County, CO",31806.684
cty12021,"Collier County, FL",31099.797
cty08101,"Pueblo County, CO",30760.895
cty08121,"Washington County, CO",
cty12035,"Flagler County, FL",34119.898
cty12017,"Citrus County, FL",31179.49
cty10001,"Kent County, DE",31080.412
cty12015,"Charlotte County, FL",31056.906
cty10005,"Sussex County, DE",30595.578
cty12063,"Jackson County, FL",30556.26
cty12019,"Clay County, FL",30394.172
cty12007,"Bradford County, FL",30192.551
cty12053,"Hernando County, FL",29704.332
cty10003,"New Castle County, DE",29689.564
cty12005,"Bay County, FL",29474.23
cty12011,"Broward County, FL",29217.098
cty12009,"Brevard County, FL",29195.09
cty12045,"Gulf County, FL",29103.611
cty12057,"Hillsborough County, FL",29055.1
cty12061,"Indian River County, FL",28997.4
cty12023,"Columbia County, FL",28936.832
cty12041,"Gilchrist County, FL",28798.305
cty12055,"Highlands County, FL",28182.057
cty12027,"DeSoto County, FL",28145.998
cty12033,"Escambia County, FL",27797.736
cty12031,"Duval County, FL",27431.568
cty12001,"Alachua County, FL",26718.488
cty11001,"District of Columbia, DC",25882.604
cty12037,"Franklin County, FL",
cty12039,"Gadsden County, FL",22995.074
cty12043,"Glades County, FL",
cty12065,"Jefferson County, FL",25962.883
cty12067,"Lafayette County, FL",
cty13005,"Bacon County, GA",34685.859
cty06027,"Inyo County, CA",34648.266
cty12125,"Union County, FL",34474.473
cty06055,"Napa County, CA",33745.383
cty06029,"Kern County, CA",33720.078
cty06017,"El Dorado County, CA",33624.504
cty05141,"Van Buren County, AR",33512.09
cty06063,"Plumas County, CA",33421.145
cty06061,"Placer County, CA",33416.129
cty13049,"Charlton County, GA",33321.758
cty06025,"Imperial County, CA",33317.172
cty06041,"Marin County, CA",33009.766
cty06059,"Orange County, CA",32753.561
cty06075,"San Francisco County, CA",32589.867
cty05147,"Woodruff County, AR",32539.24
cty13103,"Effingham County, GA",32488.277
cty13113,"Fayette County, GA",32440.596
cty06039,"Madera County, CA",32421.764
cty06005,"Amador County, CA",32324.809
cty05135,"Sharp County, AR",32229.768
cty06079,"San Luis Obispo County, CA",31926.33
cty05145,"White County, AR",31895.016
cty06053,"Monterey County, CA",31837.516
cty06057,"Nevada County, CA",31780.289
cty06073,"San Diego County, CA",31768.896
cty05133,"Sevier County, AR",31544.273
cty06013,"Contra Costa County, CA",31421.207
cty06069,"San Benito County, CA",31385.029
cty12121,"Suwannee County, FL",31373.73
cty06071,"San Bernardino County, CA",31360.105
cty13109,"Evans County, GA",31354.104
cty13043,"Candler County, GA",31337.646
cty06037,"Los Angeles County, CA",31248.168
cty06065,"Riverside County, CA",31185.727
cty12119,"Sumter County, FL",31180.762
cty12087,"Monroe County, FL",31180.277
cty13143,"Haralson County, GA",31138.119
cty06033,"Lake County, CA",31069.34
cty13137,"Habersham County, GA",31050.381
cty12113,"Santa Rosa County, FL",30914.994
cty13025,"Brantley County, GA",30906.762
cty06023,"Humboldt County, CA",30887.896
cty06077,"San Joaquin County, CA",30855.566
cty06047,"Merced County, CA",30816.832
cty12129,"Wakulla County, FL",30753.258
cty13135,"Gwinnett County, GA",30747.756
cty05149,"Yell County, AR",30698.871
cty13057,"Cherokee County, GA",30693.377
cty13117,"Forsyth County, GA",30646.059
cty13029,"Bryan County, GA",30600.01
cty06001,"Alameda County, CA",30569.877
cty06009,"Calaveras County, CA",30556.494
cty12117,"Seminole County, FL",30529.326
cty06031,"Kings County, CA",30366.51
cty06067,"Sacramento County, CA",30353.773
cty05125,"Saline County, AR",30346.418
cty12093,"Okeechobee County, FL",30245
cty12133,"Washington County, FL",30186.262
cty06011,"Colusa County, CA",30166.189
cty13119,"Franklin County, GA",30142.291
cty05143,"Washington County, AR",30088.789
cty12115,"Sarasota County, FL",30067.471
cty13129,"Gordon County, GA",30050.721
cty06019,"Fresno County, CA",30034.92
cty12071,"Lee County, FL",30027.613
cty06007,"Butte County, CA",30000.336
cty12086,"Miami-Dade County, FL",29962.729
cty13013,"Barrow County, GA",29867.297
cty12085,"Martin County, FL",29771.98
cty13011,"Banks County, GA",29766.557
cty12101,"Pasco County, FL",29747.021
cty12083,"Marion County, FL",29714.244
cty13017,"Ben Hill County, GA",29709.813
cty13045,"Carroll County, GA",29667.506
cty12091,"Okaloosa County, FL",29602.842
cty13145,"Harris County, GA",29568.953
cty13091,"Dodge County, GA",29558.535
cty13039,"Camden County, GA",29519.607
cty13097,"Douglas County, GA",29427.363
cty13001,"Appling County, GA",29405.533
cty13047,"Catoosa County, GA",29350.133
cty12097,"Osceola County, FL",29288.416
cty12075,"Levy County, FL",29226.283
cty06021,"Glenn County, CA",29223.07
cty13067,"Cobb County, GA",29218.092
cty13083,"Dade County, GA",29205.328
cty12107,"Putnam County, FL",29194.818
cty05131,"Sebastian County, AR",29187.178
cty13123,"Gilmer County, GA",29167.771
cty12105,"Polk County, FL",29061.324
cty12127,"Volusia County, FL",28973.777
cty12131,"Walton County, FL",28965.686
cty05137,"Stone County, AR",28962.494
cty13079,"Crawford County, GA",28954.49
cty12099,"Palm Beach County, FL",28883.646
cty12081,"Manatee County, FL",28876.107
cty13053,"Chattahoochee County, GA",28834.412
cty13019,"Berrien County, GA",28797.484
cty06045,"Mendocino County, CA",28717.291
cty13147,"Hart County, GA",28717.006
cty12103,"Pinellas County, FL",28703
cty13139,"Hall County, GA",28672.908
cty12111,"St. Lucie County, FL",28627.781
cty13055,"Chattooga County, GA",28617.898
cty12089,"Nassau County, FL",28568.326
cty13073,"Columbia County, GA",28503.145
cty06015,"Del Norte County, CA",28444.852
cty13015,"Bartow County, GA",28438.07
cty13035,"Butts County, GA",28369.617
cty13077,"Coweta County, GA",28222.148
cty12109,"St. Johns County, FL",28208.307
cty12095,"Orange County, FL",28003.223
cty12069,"Lake County, FL",27924.682
cty13093,"Dooly County, GA",27770.262
cty13027,"Brooks County, GA",27563.189
cty12123,"Taylor County, FL",27262.57
cty13127,"Glynn County, GA",26747.086
cty13063,"Clayton County, GA",26560.076
cty13085,"Dawson County, GA",26508.133
cty12073,"Leon County, FL",26204.262
cty12077,"Liberty County, FL",
cty12079,"Madison County, FL",27289.891
cty05127,"Scott County, AR",26784.863
cty13003,"Atkinson County, GA",
cty13023,"Bleckley County, GA",26727.137
cty05139,"Union County, AR",26446.994
cty13031,"Bulloch County, GA",26329.828
cty13033,"Burke County, GA",25665.441
cty05129,"Searcy County, AR",25636.48
cty13071,"Colquitt County, GA",25589.348
cty13069,"Coffee County, GA",24989.377
cty13051,"Chatham County, GA",24966.049
cty13059,"Clarke County, GA",24887.951
cty13021,"Bibb County, GA",24776.943
cty13065,"Clinch County, GA",
cty13107,"Emanuel County, GA",27614.756
cty13105,"Elbert County, GA",26361.834
cty13141,"Hancock County, GA",26014.832
cty13115,"Floyd County, GA",25709.584
cty13111,"Fannin County, GA",24965.1
cty13131,"Grady County, GA",24224.418
cty13081,"Crisp County, GA",24125.316
cty13089,"DeKalb County, GA",23981.301
cty13095,"Dougherty County, GA",23574.668
cty13121,"Fulton County, GA",23563.959
cty13075,"Cook County, GA",23250.625
cty13133,"Greene County, GA",23160.145
cty13009,"Baldwin County, GA",22160.926
cty13087,"Decatur County, GA",22066.701
cty13099,"Early County, GA",20382.082
cty13191,"McIntosh County, GA",19951.98
cty13201,"Miller County, GA",
cty13209,"Montgomery County, GA",
cty13243,"Randolph County, GA",
cty13253,"Seminole County, GA",
cty16045,"Gem County, ID",34213.938
cty16009,"Benewah County, ID",33841.754
cty16021,"Boundary County, ID",33032.723
cty15001,"Hawaii County, HI",30971.625
cty13257,"Stephens County, GA",30230.352
cty13261,"Sumter County, GA",22375.715
cty13263,"Talbot County, GA",
cty13267,"Tattnall County, GA",29384.789
cty13269,"Taylor County, GA",
cty16047,"Gooding County, ID",33812.805
cty16011,"Bingham County, ID",33770.32
cty13271,"Telfair County, GA",30187.402
cty13273,"Terrell County, GA",
cty16049,"Idaho County, ID",33880.504
cty16041,"Franklin County, ID",33737.383
cty15007,"Kauai County, HI",33030.652
cty15009,"Maui County, HI",32349.002
cty16031,"Cassia County, ID",32215.672
cty16043,"Fremont County, ID",32104.229
cty15003,"Honolulu County, HI",31980.254
cty16017,"Bonner County, ID",31820.729
cty16039,"Elmore County, ID",31664.445
cty16019,"Bonneville County, ID",30941.818
cty16027,"Canyon County, ID",30441.711
cty16001,"Ada County, ID",30008.457
cty16005,"Bannock County, ID",29981.316
cty13321,"Worth County, GA",29262.898
cty13299,"Ware County, GA",28735.08
cty13305,"Wayne County, GA",28520.395
cty13295,"Walker County, GA",28317.656
cty13297,"Walton County, GA",28297.107
cty13311,"White County, GA",28253.744
cty13313,"Whitfield County, GA",28073.365
cty13285,"Troup County, GA",27460.996
cty13279,"Toombs County, GA",27443.713
cty13275,"Thomas County, GA",24407.574
cty13277,"Tift County, GA",23964.189
cty13281,"Towns County, GA",
cty13283,"Treutlen County, GA",
cty13319,"Wilkinson County, GA",26537.529
cty13291,"Union County, GA",26235.535
cty13303,"Washington County, GA",26154.162
cty13317,"Wilkes County, GA",25492.143
cty13293,"Upson County, GA",25414.91
cty13287,"Turner County, GA",21917.314
cty13289,"Twiggs County, GA",21631.74
cty13301,"Warren County, GA",
cty13315,"Wilcox County, GA",
cty16007,"Bear Lake County, ID",
cty16029,"Caribou County, ID",
cty16035,"Clearwater County, ID",
cty17065,"Hamilton County, IL",38539.086
cty17027,"Clinton County, IL",37688.094
cty17063,"Grundy County, IL",37338.117
cty17053,"Ford County, IL",36358.52
cty16079,"Shoshone County, ID",36280.723
cty17011,"Bureau County, IL",35878.688
cty17025,"Clay County, IL",35766.766
cty17079,"Jasper County, IL",35742.398
cty17043,"DuPage County, IL",35552.551
cty17067,"Hancock County, IL",35407.34
cty17051,"Fayette County, IL",35315.711
cty17073,"Henry County, IL",35267.207
cty17047,"Edwards County, IL",35220.551
cty17049,"Effingham County, IL",35134.277
cty17075,"Iroquois County, IL",35087.074
cty16087,"Washington County, ID",34986.805
cty17061,"Greene County, IL",34924.516
cty17041,"Douglas County, IL",34889.516
cty17037,"DeKalb County, IL",34691.32
cty16073,"Owyhee County, ID",34526.566
cty17023,"Clark County, IL",34495.703
cty17017,"Cass County, IL",34315.375
cty16059,"Lemhi County, ID",34049.855
cty17035,"Cumberland County, IL",33993.586
cty17001,"Adams County, IL",33796.254
cty17057,"Fulton County, IL",33698.234
cty17045,"Edgar County, IL",33679.898
cty17033,"Crawford County, IL",33673.977
cty16077,"Power County, ID",33371.336
cty16065,"Madison County, ID",33236.895
cty17015,"Carroll County, IL",33086.484
cty16067,"Minidoka County, ID",32950.293
cty16053,"Jerome County, ID",32925.047
cty17021,"Christian County, IL",32836.699
cty16051,"Jefferson County, ID",32680.666
cty16057,"Latah County, ID",32634.916
cty17007,"Boone County, IL",32583.443
cty17039,"De Witt County, IL",32365.918
cty17005,"Bond County, IL",32199.25
cty16055,"Kootenai County, ID",31929.604
cty16083,"Twin Falls County, ID",31470.875
cty17055,"Franklin County, IL",31294.963
cty16069,"Nez Perce County, ID",31000.783
cty16071,"Oneida County, ID",
cty17133,"Monroe County, IL",38774.965
cty17131,"Mercer County, IL",37469.695
cty17157,"Randolph County, IL",37410.191
cty17093,"Kendall County, IL",37228.344
cty17135,"Montgomery County, IL",36784.961
cty17139,"Moultrie County, IL",36455.27
cty17189,"Washington County, IL",36181.891
cty17149,"Pike County, IL",35806.813
cty17085,"Jo Daviess County, IL",35722.508
cty17173,"Shelby County, IL",35618.527
cty17123,"Marshall County, IL",35344.289
cty17105,"Livingston County, IL",35242.652
cty17169,"Schuyler County, IL",35233.93
cty17111,"McHenry County, IL",35225.555
cty17099,"LaSalle County, IL",35089.152
cty17165,"Saline County, IL",34874.426
cty17117,"Macoupin County, IL",34704.105
cty17147,"Piatt County, IL",34120.625
cty17185,"Wabash County, IL",34042.395
cty17179,"Tazewell County, IL",33950.102
cty17103,"Lee County, IL",33916.195
cty17141,"Ogle County, IL",33855.758
cty17083,"Jersey County, IL",33695.117
cty17101,"Lawrence County, IL",33610.133
cty17107,"Logan County, IL",33080.027
cty17159,"Richland County, IL",32842.164
cty17127,"Massac County, IL",32665.846
cty17187,"Warren County, IL",32552.17
cty17181,"Union County, IL",32398.211
cty17109,"McDonough County, IL",32329.439
cty17125,"Mason County, IL",32282.396
cty17087,"Johnson County, IL",32212.459
cty17097,"Lake County, IL",31988.631
cty17095,"Knox County, IL",31914.072
cty17089,"Kane County, IL",31858.984
cty17129,"Menard County, IL",31641.281
cty17161,"Rock Island County, IL",31600.359
cty17137,"Morgan County, IL",31504.771
cty17119,"Madison County, IL",31433.805
cty17091,"Kankakee County, IL",31267.02
cty17145,"Perry County, IL",31136.582
cty17121,"Marion County, IL",31019.213
cty17019,"Champaign County, IL",30786.211
cty17113,"McLean County, IL",30683.883
cty17081,"Jefferson County, IL",30645.801
cty17183,"Vermilion County, IL",30618.137
cty17143,"Peoria County, IL",30367.336
cty17177,"Stephenson County, IL",30252.963
cty17029,"Coles County, IL",29963.391
cty16075,"Payette County, ID",29888.699
cty17115,"Macon County, IL",29474.818
cty17077,"Jackson County, IL",28980.398
cty17031,"Cook County, IL",28965.006
cty17153,"Pulaski County, IL",
cty17163,"St. Clair County, IL",28754.758
cty17167,"Sangamon County, IL",28356.539
cty17003,"Alexander County, IL",23755.008
cty17171,"Scott County, IL",
cty18087,"LaGrange County, IN",39270.98
cty18147,"Spencer County, IN",39140.281
cty19001,"Adair County, IA",39123.164
cty18037,"Dubois County, IN",38877.664
cty18007,"Benton County, IN",38569.488
cty18073,"Jasper County, IN",38370.391
cty18125,"Pike County, IN",37687.031
cty18123,"Perry County, IN",37154.723
cty17203,"Woodford County, IL",36838.004
cty19005,"Allamakee County, IA",36345.129
cty18045,"Fountain County, IN",36114.332
cty18153,"Sullivan County, IN",35814.23
cty18051,"Gibson County, IN",35742.531
cty18111,"Newton County, IN",35269.75
cty17191,"Wayne County, IL",35185.387
cty18001,"Adams County, IN",35113.398
cty18047,"Franklin County, IN",34863.086
cty18129,"Posey County, IN",34821.621
cty18173,"Warrick County, IN",34695.121
cty18171,"Warren County, IN",34606.418
cty18179,"Wells County, IN",34517.207
cty18063,"Hendricks County, IN",34510.879
cty18049,"Fulton County, IN",34491.781
cty19007,"Appanoose County, IA",34442.496
cty18059,"Hancock County, IN",34370.207
cty18085,"Kosciusko County, IN",34364.449
cty18127,"Porter County, IN",34334.574
cty18027,"Daviess County, IN",34272.832
cty17195,"Whiteside County, IL",34220.184
cty18155,"Switzerland County, IN",34006.613
cty18181,"White County, IN",33941.652
cty18159,"Tipton County, IN",33860.902
cty18113,"Noble County, IN",33798.352
cty18131,"Pulaski County, IN",33720.531
cty18099,"Marshall County, IN",33656.477
cty18077,"Jefferson County, IN",33632.508
cty17193,"White County, IL",33544.059
cty18183,"Whitley County, IN",33442.863
cty18117,"Orange County, IN",33423.402
cty18161,"Union County, IN",33392.941
cty18137,"Ripley County, IN",33355.43
cty18055,"Greene County, IN",33309.75
cty18135,"Randolph County, IN",33249.977
cty18031,"Decatur County, IN",33162.184
cty18025,"Crawford County, IN",33080.922
cty18083,"Knox County, IN",33050.797
cty18029,"Dearborn County, IN",33023.402
cty18101,"Martin County, IN",33017.594
cty18061,"Harrison County, IN",33013.773
cty18175,"Washington County, IN",33009.102
cty18057,"Hamilton County, IN",32940.168
cty17197,"Will County, IL",32827.223
cty18169,"Wabash County, IN",32604.566
cty18015,"Carroll County, IN",32557.23
cty18071,"Jackson County, IN",32534.238
cty18149,"Starke County, IN",32522.109
cty18081,"Johnson County, IN",32505.898
cty18121,"Parke County, IN",32488.891
cty18107,"Montgomery County, IN",32393.084
cty18011,"Boone County, IN",32390.344
cty18165,"Vermillion County, IN",32225.686
cty18033,"DeKalb County, IN",32135.371
cty18069,"Huntington County, IN",32129.578
cty18079,"Jennings County, IN",32063.168
cty18039,"Elkhart County, IN",31828.715
cty18017,"Cass County, IN",31806.707
cty18145,"Shelby County, IN",31779.213
cty18013,"Brown County, IN",31773.701
cty18151,"Steuben County, IN",31722.492
cty18075,"Jay County, IN",31627.76
cty18109,"Morgan County, IN",31595.229
cty18021,"Clay County, IN",31593.844
cty18023,"Clinton County, IN",31472.441
cty18157,"Tippecanoe County, IN",31462.129
cty18005,"Bartholomew County, IN",31418.375
cty18163,"Vanderburgh County, IN",31079.6
cty18139,"Rush County, IN",31066.012
cty18065,"Henry County, IN",31042.668
cty18093,"Lawrence County, IN",31014.932
cty18019,"Clark County, IN",30779.125
cty18167,"Vigo County, IN",30681.5
cty18133,"Putnam County, IN",30624.965
cty18119,"Owen County, IN",30608.381
cty18103,"Miami County, IN",30417.307
cty18141,"St. Joseph County, IN",30123.984
cty18043,"Floyd County, IN",29994.736
cty18091,"LaPorte County, IN",29777.355
cty18009,"Blackford County, IN",29672.113
