cty,Name,Individual_income_For_Children_Born_in_1978_rP_gF_p50
cty01067,"Henry County, AL",27749.723
cty01057,"Fayette County, AL",27409.166
cty01081,"Lee County, AL",26900.281
cty01101,"Montgomery County, AL",26266.268
cty01073,"Jefferson County, AL",26201.514
cty01041,"Crenshaw County, AL",26083.107
cty01065,"Hale County, AL",26059.625
cty01087,"Macon County, AL",26052.662
cty01047,"Dallas County, AL",26027.803
cty01085,"Lowndes County, AL",25485.355
cty01089,"Madison County, AL",25400.375
cty01023,"Choctaw County, AL",25318.773
cty01021,"Chilton County, AL",25192.85
cty01031,"Coffee County, AL",25192.33
cty01017,"Chambers County, AL",25189.883
cty01093,"Marion County, AL",25152.322
cty01045,"Dale County, AL",25148.271
cty01025,"Clarke County, AL",25012.473
cty01019,"Cherokee County, AL",24892.35
cty01079,"Lawrence County, AL",24668.398
cty01051,"Elmore County, AL",24611.674
cty01013,"Butler County, AL",24610.16
cty01091,"Marengo County, AL",24606.025
cty01009,"Blount County, AL",24602.795
cty01043,"Cullman County, AL",24483.684
cty01077,"Lauderdale County, AL",24288.229
cty01003,"Baldwin County, AL",24279.809
cty01097,"Mobile County, AL",24095.223
cty01099,"Monroe County, AL",24047.121
cty01039,"Covington County, AL",24012.527
cty01035,"Conecuh County, AL",23949.428
cty01049,"DeKalb County, AL",23872.516
cty01095,"Marshall County, AL",23815.273
cty01069,"Houston County, AL",23806.766
cty01053,"Escambia County, AL",23650.936
cty01055,"Etowah County, AL",23570.072
cty01059,"Franklin County, AL",23354.697
cty01071,"Jackson County, AL",23316.938
cty01033,"Colbert County, AL",23267.375
cty01015,"Calhoun County, AL",23256.668
cty01083,"Limestone County, AL",23218.299
cty01005,"Barbour County, AL",22892.213
cty01011,"Bullock County, AL",22885.643
cty01007,"Bibb County, AL",22333.645
cty01001,"Autauga County, AL",21981.078
cty01027,"Clay County, AL",
cty01029,"Cleburne County, AL",
cty01037,"Coosa County, AL",
cty01063,"Greene County, AL",22770.125
cty01061,"Geneva County, AL",21800.039
cty01075,"Lamar County, AL",
cty02020,"Anchorage Municipality, AK",29243.584
cty04023,"Santa Cruz County, AZ",29060.75
cty04013,"Maricopa County, AZ",27631.564
cty04027,"Yuma County, AZ",27268.846
cty02110,"Juneau City and Borough, AK",27124.492
cty02170,"Matanuska-Susitna Borough, AK",27041.58
cty02090,"Fairbanks North Star Borough, AK",26238.645
cty04019,"Pima County, AZ",26173.133
cty05009,"Boone County, AR",26102.104
cty05017,"Chicot County, AR",25740.838
cty01123,"Tallapoosa County, AL",25727.936
cty04003,"Cochise County, AZ",25651.682
cty01117,"Shelby County, AL",25578.445
cty05007,"Benton County, AR",25523.875
cty01113,"Russell County, AL",25507.176
cty01109,"Pike County, AL",25338.221
cty01111,"Randolph County, AL",25231.129
cty04015,"Mohave County, AZ",25202.121
cty02122,"Kenai Peninsula Borough, AK",25159.09
cty01125,"Tuscaloosa County, AL",25140.557
cty05019,"Clark County, AR",25098.051
cty01133,"Winston County, AL",25013.611
cty05001,"Arkansas County, AR",24881.225
cty04005,"Coconino County, AZ",24751.895
cty05021,"Clay County, AR",24656.072
cty01105,"Perry County, AL",24601.43
cty05005,"Baxter County, AR",24365.668
cty01115,"St. Clair County, AL",24340.18
cty01107,"Pickens County, AL",24244.961
cty04025,"Yavapai County, AZ",23951.32
cty01119,"Sumter County, AL",23853.475
cty04021,"Pinal County, AZ",23807.125
cty01103,"Morgan County, AL",23671.365
cty01121,"Talladega County, AL",22672.752
cty05015,"Carroll County, AR",22551.514
cty05003,"Ashley County, AR",22517.314
cty04007,"Gila County, AZ",21928.68
cty01127,"Walker County, AL",21699.455
cty01129,"Washington County, AL",20893.66
cty04001,"Apache County, AZ",20606.525
cty04017,"Navajo County, AZ",20006.527
cty01131,"Wilcox County, AL",16478.213
cty02050,"Bethel Census Area, AK",
cty02130,"Ketchikan Gateway Borough, AK",
