cty,Name,Individual_income_For_Children_Born_in_1978_rP_gM_p75
cty06017,"El Dorado County, CA",36334.297
cty05145,"White County, AR",36305.207
cty06039,"Madera County, CA",36219.477
cty06041,"Marin County, CA",35859.543
cty06013,"Contra Costa County, CA",35785.887
cty06059,"Orange County, CA",35599.422
cty06033,"Lake County, CA",35475.172
cty06069,"San Benito County, CA",35413.176
cty06071,"San Bernardino County, CA",35206.48
cty06075,"San Francisco County, CA",35177.637
cty06005,"Amador County, CA",35170.602
cty06077,"San Joaquin County, CA",35124.887
cty06073,"San Diego County, CA",35061.504
cty06009,"Calaveras County, CA",35042.949
cty06001,"Alameda County, CA",34992.645
cty05139,"Union County, AR",34951.344
cty06079,"San Luis Obispo County, CA",34915.953
cty06065,"Riverside County, CA",34726.707
cty06031,"Kings County, CA",34689.566
cty06023,"Humboldt County, CA",34686.57
cty06019,"Fresno County, CA",34487.227
cty05133,"Sevier County, AR",34336.461
cty06037,"Los Angeles County, CA",34305.664
cty05131,"Sebastian County, AR",34291.688
cty05135,"Sharp County, AR",
cty05137,"Stone County, AR",
cty05141,"Van Buren County, AR",
cty05143,"Washington County, AR",33918.359
cty05147,"Woodruff County, AR",
cty06057,"Nevada County, CA",34586.492
cty06067,"Sacramento County, CA",34531.289
cty06053,"Monterey County, CA",34469.918
cty06047,"Merced County, CA",34060.457
cty06063,"Plumas County, CA",33792.66
cty06011,"Colusa County, CA",33523.496
cty06021,"Glenn County, CA",33474.52
cty05149,"Yell County, AR",33434.945
cty06007,"Butte County, CA",32587.1
cty06045,"Mendocino County, CA",32479.547
cty06015,"Del Norte County, CA",32258.834
cty06049,"Modoc County, CA",
cty08081,"Moffat County, CO",42938.902
cty08029,"Delta County, CO",42369.859
cty08051,"Gunnison County, CO",40471.277
cty08045,"Garfield County, CO",39867.508
cty08087,"Morgan County, CO",39622.215
cty08071,"Las Animas County, CO",38793.563
cty08077,"Mesa County, CO",38129.363
cty08083,"Montezuma County, CO",38047.777
cty08015,"Chaffee County, CO",37907.133
cty08089,"Otero County, CO",37789.02
cty08014,"Broomfield County, CO",37706.211
cty08093,"Park County, CO",37557.484
cty06109,"Tuolumne County, CA",37485.387
cty08035,"Douglas County, CO",37456.004
cty08039,"Elbert County, CO",37405.621
cty08085,"Montrose County, CO",37132.445
cty08075,"Logan County, CO",37104.508
cty08059,"Jefferson County, CO",36925.789
cty06115,"Yuba County, CA",36923.273
cty08005,"Arapahoe County, CO",36855.867
cty08001,"Adams County, CO",36777.789
cty06081,"San Mateo County, CA",36767.934
cty08043,"Fremont County, CO",36523.75
cty06093,"Siskiyou County, CA",36348.516
cty08003,"Alamosa County, CO",36147.441
cty08067,"La Plata County, CO",36001.879
cty06097,"Sonoma County, CA",35815.094
cty06111,"Ventura County, CA",35800.176
cty06095,"Solano County, CA",35586.102
cty08099,"Prowers County, CO",35500.223
cty06101,"Sutter County, CA",35306.191
cty08069,"Larimer County, CO",35159.801
cty06083,"Santa Barbara County, CA",35101.633
cty08041,"El Paso County, CO",35047.273
cty06113,"Yolo County, CA",35046.703
cty06107,"Tulare County, CA",34970.137
cty06085,"Santa Clara County, CA",34930.371
cty06089,"Shasta County, CA",34906.281
cty08013,"Boulder County, CO",34901.391
cty06099,"Stanislaus County, CA",34034.313
cty06087,"Santa Cruz County, CA",33865.109
cty06103,"Tehama County, CA",33204.996
cty06105,"Trinity County, CA",
cty08007,"Archuleta County, CO",
cty08011,"Bent County, CO",
cty08021,"Conejos County, CO",
cty08031,"Denver County, CO",33880.691
cty08037,"Eagle County, CO",32955.164
cty08055,"Huerfano County, CO",
cty08063,"Kit Carson County, CO",
cty08065,"Lake County, CO",
cty08125,"Yuma County, CO",40928.578
cty08105,"Rio Grande County, CO",40741.965
cty09013,"Tolland County, CT",40003.059
cty12003,"Baker County, FL",39773.289
cty09001,"Fairfield County, CT",39176.734
cty09003,"Hartford County, CT",38950.266
cty09007,"Middlesex County, CT",38768.422
cty09009,"New Haven County, CT",38550.125
cty09011,"New London County, CT",38366.977
cty09005,"Litchfield County, CT",38201.398
cty09015,"Windham County, CT",37426.5
cty10003,"New Castle County, DE",36915.98
cty10001,"Kent County, DE",36833.941
cty10005,"Sussex County, DE",36803.082
cty12063,"Jackson County, FL",36753.727
cty12051,"Hendry County, FL",36556.418
cty12035,"Flagler County, FL",36277.836
cty08123,"Weld County, CO",36109.082
cty12021,"Collier County, FL",35991.609
cty08101,"Pueblo County, CO",34637.973
cty12011,"Broward County, FL",34493.863
cty12007,"Bradford County, FL",34487.875
cty12049,"Hardee County, FL",34411.965
cty12057,"Hillsborough County, FL",34290.625
cty12055,"Highlands County, FL",33680.703
cty08119,"Teller County, CO",33413.219
cty08121,"Washington County, CO",
cty12015,"Charlotte County, FL",34958.801
cty12017,"Citrus County, FL",34860.195
cty12019,"Clay County, FL",34138.48
cty12027,"DeSoto County, FL",33971.418
cty12023,"Columbia County, FL",33958.957
cty12031,"Duval County, FL",33460.984
cty12005,"Bay County, FL",33282.289
cty12009,"Brevard County, FL",33261.332
cty12033,"Escambia County, FL",33241.914
cty12061,"Indian River County, FL",32954.355
cty12001,"Alachua County, FL",32831.773
cty12039,"Gadsden County, FL",32559.924
cty11001,"District of Columbia, DC",30980.797
cty12013,"Calhoun County, FL",
cty12029,"Dixie County, FL",
cty12037,"Franklin County, FL",
cty12041,"Gilchrist County, FL",
cty12043,"Glades County, FL",
cty12045,"Gulf County, FL",
cty12047,"Hamilton County, FL",
cty12053,"Hernando County, FL",32786.969
cty12059,"Holmes County, FL",
cty12065,"Jefferson County, FL",
cty12067,"Lafayette County, FL",
cty12119,"Sumter County, FL",37153.758
cty13017,"Ben Hill County, GA",36824.926
cty13011,"Banks County, GA",36204.875
cty12121,"Suwannee County, FL",35840.422
cty12117,"Seminole County, FL",35437.152
cty12083,"Marion County, FL",35173.371
cty13033,"Burke County, GA",35118.844
cty12071,"Lee County, FL",35047.109
cty12105,"Polk County, FL",34941.977
cty12115,"Sarasota County, FL",34702.504
cty13029,"Bryan County, GA",34529.004
cty12107,"Putnam County, FL",34479.918
cty12113,"Santa Rosa County, FL",34383.371
cty12085,"Martin County, FL",34350.512
cty12099,"Palm Beach County, FL",34311.277
cty12081,"Manatee County, FL",34288.508
cty12091,"Okaloosa County, FL",34248.41
cty13015,"Bartow County, GA",34141.73
cty12086,"Miami-Dade County, FL",34055.598
cty12133,"Washington County, FL",34051.672
cty13031,"Bulloch County, GA",33915.234
cty13013,"Barrow County, GA",33857.172
cty12111,"St. Lucie County, FL",33829.711
cty12109,"St. Johns County, FL",33657.953
cty12101,"Pasco County, FL",33630.91
cty12127,"Volusia County, FL",33627.469
cty12103,"Pinellas County, FL",33516.332
cty12129,"Wakulla County, FL",33474.637
cty12087,"Monroe County, FL",33468.48
cty12093,"Okeechobee County, FL",33392.426
cty12095,"Orange County, FL",33335.879
cty13021,"Bibb County, GA",33326.598
cty12069,"Lake County, FL",33288.469
cty13027,"Brooks County, GA",33247.41
cty12097,"Osceola County, FL",33201.52
cty13001,"Appling County, GA",33066.668
cty12131,"Walton County, FL",33055.867
cty12089,"Nassau County, FL",32867.68
cty12079,"Madison County, FL",32797.207
cty12073,"Leon County, FL",32618.822
cty12075,"Levy County, FL",31870.152
cty12077,"Liberty County, FL",
cty12123,"Taylor County, FL",32433.271
cty12125,"Union County, FL",
cty13003,"Atkinson County, GA",
cty13005,"Bacon County, GA",
cty13035,"Butts County, GA",32660.162
cty13019,"Berrien County, GA",32230.008
cty13009,"Baldwin County, GA",32204.109
cty13023,"Bleckley County, GA",29521.777
cty13025,"Brantley County, GA",
cty13039,"Camden County, GA",33448.168
cty13043,"Candler County, GA",
cty13143,"Haralson County, GA",37559.809
cty13103,"Effingham County, GA",37125.813
cty13113,"Fayette County, GA",36677.625
cty13137,"Habersham County, GA",36444.02
cty13045,"Carroll County, GA",36420.262
cty13135,"Gwinnett County, GA",36038.238
cty13117,"Forsyth County, GA",35410.891
cty13091,"Dodge County, GA",35003.996
cty13067,"Cobb County, GA",34872.5
cty13057,"Cherokee County, GA",34625.07
cty13129,"Gordon County, GA",34403.289
cty13097,"Douglas County, GA",34400.039
cty13053,"Chattahoochee County, GA",33987.238
cty13063,"Clayton County, GA",33816.398
cty13047,"Catoosa County, GA",33143.867
cty13049,"Charlton County, GA",
cty13077,"Coweta County, GA",34246.742
cty13119,"Franklin County, GA",34182.988
cty13145,"Harris County, GA",34002.496
cty13055,"Chattooga County, GA",33797.262
cty13139,"Hall County, GA",33560
cty13147,"Hart County, GA",33490.012
cty13079,"Crawford County, GA",33182.785
cty13123,"Gilmer County, GA",33048.465
cty13087,"Decatur County, GA",33029.809
cty13073,"Columbia County, GA",32961.648
cty13121,"Fulton County, GA",32785.332
cty13107,"Emanuel County, GA",32614.467
cty13115,"Floyd County, GA",32189.789
cty13071,"Colquitt County, GA",32043.256
cty13127,"Glynn County, GA",32033.016
cty13105,"Elbert County, GA",31766.721
cty13051,"Chatham County, GA",31707.258
cty13059,"Clarke County, GA",31641.631
cty13065,"Clinch County, GA",
cty13131,"Grady County, GA",31766.174
cty13095,"Dougherty County, GA",31362.77
cty13081,"Crisp County, GA",31207.092
cty13069,"Coffee County, GA",31034.078
cty13133,"Greene County, GA",30945.881
cty13083,"Dade County, GA",30845.381
cty13089,"DeKalb County, GA",30808.525
cty13085,"Dawson County, GA",29109.855
cty13075,"Cook County, GA",27111.113
cty13093,"Dooly County, GA",
cty13099,"Early County, GA",
cty13109,"Evans County, GA",
cty13111,"Fannin County, GA",
