cty,Name,Individual_income_For_Children_Born_in_1978_rP_gF_p75
cty01093,"Marion County, AL",32358.285
cty01059,"Franklin County, AL",31349.318
cty01101,"Montgomery County, AL",31295.715
cty01067,"Henry County, AL",31202.736
cty01053,"Escambia County, AL",31182.852
cty01047,"Dallas County, AL",31124.564
cty01043,"Cullman County, AL",30950.158
cty01081,"Lee County, AL",30949.732
cty01013,"Butler County, AL",30926.633
cty01021,"Chilton County, AL",30584.346
cty01073,"Jefferson County, AL",30501.305
cty01009,"Blount County, AL",30408.738
cty01039,"Covington County, AL",30238.035
cty01095,"Marshall County, AL",30135.445
cty01031,"Coffee County, AL",29826.191
cty01089,"Madison County, AL",29809.227
cty01051,"Elmore County, AL",29808.816
cty01003,"Baldwin County, AL",29676.273
cty01045,"Dale County, AL",29509.916
cty01069,"Houston County, AL",29502.035
cty01025,"Clarke County, AL",29479.443
cty01077,"Lauderdale County, AL",29446.023
cty01017,"Chambers County, AL",29322.479
cty01055,"Etowah County, AL",29259.879
cty01071,"Jackson County, AL",29130.066
cty01049,"DeKalb County, AL",29082.201
cty01007,"Bibb County, AL",28722.484
cty01015,"Calhoun County, AL",28223.455
cty01005,"Barbour County, AL",28175.625
cty01001,"Autauga County, AL",27605.594
cty01011,"Bullock County, AL",
cty01019,"Cherokee County, AL",
cty01023,"Choctaw County, AL",
cty01027,"Clay County, AL",
cty01029,"Cleburne County, AL",
cty01033,"Colbert County, AL",27850.512
cty01035,"Conecuh County, AL",
cty01037,"Coosa County, AL",
cty01041,"Crenshaw County, AL",
cty01057,"Fayette County, AL",
cty01103,"Morgan County, AL",28855.574
cty01083,"Limestone County, AL",27562.018
cty01061,"Geneva County, AL",26348.674
cty01063,"Greene County, AL",
cty01065,"Hale County, AL",
cty01075,"Lamar County, AL",
cty01079,"Lawrence County, AL",28591.313
cty01085,"Lowndes County, AL",
cty01087,"Macon County, AL",
cty01099,"Monroe County, AL",28777.383
cty01097,"Mobile County, AL",28734.279
cty01091,"Marengo County, AL",28082.549
cty01105,"Perry County, AL",
cty01107,"Pickens County, AL",
cty04023,"Santa Cruz County, AZ",33119.195
cty01109,"Pike County, AL",32738.178
cty05001,"Arkansas County, AR",32129.676
cty05009,"Boone County, AR",32037.002
cty01123,"Tallapoosa County, AL",31550.646
cty01111,"Randolph County, AL",31391.951
cty02130,"Ketchikan Gateway Borough, AK",31314.982
cty02020,"Anchorage Municipality, AK",31191.316
cty02110,"Juneau City and Borough, AK",31121.209
cty04013,"Maricopa County, AZ",30769.926
cty05019,"Clark County, AR",30406.162
cty01113,"Russell County, AL",30352.629
cty01117,"Shelby County, AL",30272.006
cty01125,"Tuscaloosa County, AL",29806.619
cty01115,"St. Clair County, AL",29773.162
cty01119,"Sumter County, AL",
cty04027,"Yuma County, AZ",30299.096
cty04019,"Pima County, AZ",30033.357
cty05007,"Benton County, AR",29923.787
cty05003,"Ashley County, AR",29264.121
cty04005,"Coconino County, AZ",29060.979
cty04015,"Mohave County, AZ",28885.473
cty01121,"Talladega County, AL",28748.732
cty01127,"Walker County, AL",28145.23
cty01129,"Washington County, AL",
cty01131,"Wilcox County, AL",
cty01133,"Winston County, AL",
cty02050,"Bethel Census Area, AK",
cty02090,"Fairbanks North Star Borough, AK",29530.605
cty02170,"Matanuska-Susitna Borough, AK",28621.945
cty04011,"Greenlee County, AZ",28484.955
cty02150,"Kodiak Island Borough, AK",27984.949
cty04021,"Pinal County, AZ",27491.344
cty02122,"Kenai Peninsula Borough, AK",25977.223
cty02188,"Northwest Arctic Borough, AK",
cty02270,,
cty04007,"Gila County, AZ",27906.857
cty04003,"Cochise County, AZ",27628.578
cty05005,"Baxter County, AR",27381.578
cty04025,"Yavapai County, AZ",27304.498
cty04017,"Navajo County, AZ",24639.158
cty05015,"Carroll County, AR",24071.57
cty04001,"Apache County, AZ",22824.027
cty04009,"Graham County, AZ",21792.824
cty04012,"La Paz County, AZ",
cty05011,"Bradley County, AR",
cty05017,"Chicot County, AR",
cty05021,"Clay County, AR",
cty05023,"Cleburne County, AR",30946.404
cty05025,"Cleveland County, AR",
cty05043,"Drew County, AR",33008.27
cty05053,"Grant County, AR",32212.795
cty05057,"Hempstead County, AR",31523.512
cty05037,"Cross County, AR",31156.793
