cty,Name,Individual_income_For_Children_Born_in_1978_rP_gM_p1
cty02110,"Juneau City and Borough, AK",32809.035
cty02122,"Kenai Peninsula Borough, AK",32709.754
cty02170,"Matanuska-Susitna Borough, AK",31358.475
cty01075,"Lamar County, AL",28699.074
cty01041,"Crenshaw County, AL",27954.996
cty02090,"Fairbanks North Star Borough, AK",27512.035
cty04025,"Yavapai County, AZ",25265.34
cty04027,"Yuma County, AZ",24716.314
cty02020,"Anchorage Municipality, AK",24694.244
cty05021,"Clay County, AR",23994.754
cty04009,"Graham County, AZ",23565.855
cty01023,"Choctaw County, AL",23309.365
cty04003,"Cochise County, AZ",23096.391
cty04013,"Maricopa County, AZ",23094.164
cty04012,"La Paz County, AZ",22787.023
cty01129,"Washington County, AL",22369.502
cty05015,"Carroll County, AR",22302.15
cty01021,"Chilton County, AL",22156.736
cty04007,"Gila County, AZ",22156.713
cty04023,"Santa Cruz County, AZ",22004.438
cty05005,"Baxter County, AR",21979.164
cty04015,"Mohave County, AZ",21855.318
cty01099,"Monroe County, AL",21852.164
cty05023,"Cleburne County, AR",21767.852
cty04005,"Coconino County, AZ",21655.125
cty01079,"Lawrence County, AL",21529.088
cty01117,"Shelby County, AL",21366.482
cty01029,"Cleburne County, AL",21031.162
cty05019,"Clark County, AR",20490.008
cty04019,"Pima County, AZ",20314.354
cty04001,"Apache County, AZ",20293.865
cty05007,"Benton County, AR",20291.492
cty01107,"Pickens County, AL",20131.408
cty01025,"Clarke County, AL",19908.311
cty01127,"Walker County, AL",19797.176
cty01133,"Winston County, AL",19660.246
cty01077,"Lauderdale County, AL",19483.834
cty01111,"Randolph County, AL",19284.117
cty01093,"Marion County, AL",19279.262
cty01131,"Wilcox County, AL",19106.738
cty01091,"Marengo County, AL",19058.922
cty01007,"Bibb County, AL",18947.916
cty01003,"Baldwin County, AL",18771.418
cty01039,"Covington County, AL",18611.094
cty01059,"Franklin County, AL",18568.875
cty01115,"St. Clair County, AL",18500.943
cty01001,"Autauga County, AL",18480.023
cty04017,"Navajo County, AZ",18056.006
cty01009,"Blount County, AL",17911.203
cty01051,"Elmore County, AL",17797.281
cty01005,"Barbour County, AL",17569.629
cty01049,"DeKalb County, AL",17551.855
cty01095,"Marshall County, AL",17530.865
cty01043,"Cullman County, AL",17206.814
cty01011,"Bullock County, AL",17168.617
cty01097,"Mobile County, AL",17151.75
cty01055,"Etowah County, AL",17151.262
cty01071,"Jackson County, AL",17065.002
cty01085,"Lowndes County, AL",17032.924
cty01045,"Dale County, AL",16966.568
cty01031,"Coffee County, AL",16883.916
cty01015,"Calhoun County, AL",16766.389
cty04021,"Pinal County, AZ",16331.253
cty01033,"Colbert County, AL",16320.425
cty01109,"Pike County, AL",16248.147
cty05009,"Boone County, AR",16147.1
cty01013,"Butler County, AL",16030.444
cty01103,"Morgan County, AL",15943.942
cty01125,"Tuscaloosa County, AL",15751.867
cty01053,"Escambia County, AL",15676.484
cty01047,"Dallas County, AL",15640.743
cty01121,"Talladega County, AL",15423.382
cty01037,"Coosa County, AL",15202.869
cty05003,"Ashley County, AR",15102.509
cty01061,"Geneva County, AL",14871.136
cty01073,"Jefferson County, AL",14761.763
cty01017,"Chambers County, AL",14619.582
cty01119,"Sumter County, AL",14560.62
cty01113,"Russell County, AL",14560.265
cty01089,"Madison County, AL",14081.982
cty01123,"Tallapoosa County, AL",14028.293
cty02050,"Bethel Census Area, AK",13820.724
cty01057,"Fayette County, AL",13619.089
cty01019,"Cherokee County, AL",13041.386
cty01027,"Clay County, AL",
cty01067,"Henry County, AL",14711.411
cty01069,"Houston County, AL",14596.723
cty01081,"Lee County, AL",14262.56
cty01083,"Limestone County, AL",14156.901
cty01101,"Montgomery County, AL",13135.393
cty01065,"Hale County, AL",11973.475
cty01035,"Conecuh County, AL",11057.221
