cty,Name,Individual_income_For_Children_Born_in_1978_rP_gF_p25
cty01041,"Crenshaw County, AL",23484.014
cty01065,"Hale County, AL",23255.18
cty01067,"Henry County, AL",22528.434
cty01085,"Lowndes County, AL",22336.561
cty01081,"Lee County, AL",22030.365
cty01011,"Bullock County, AL",21827.686
cty01073,"Jefferson County, AL",21567.996
cty01091,"Marengo County, AL",21533.553
cty01017,"Chambers County, AL",21449.432
cty01045,"Dale County, AL",21292.729
cty01101,"Montgomery County, AL",21242.768
cty01035,"Conecuh County, AL",21125.531
cty01087,"Macon County, AL",21010.922
cty01079,"Lawrence County, AL",20813.723
cty01025,"Clarke County, AL",20769.816
cty01013,"Butler County, AL",20759.453
cty01089,"Madison County, AL",20747.516
cty01031,"Coffee County, AL",20502.893
cty01021,"Chilton County, AL",20499.176
cty01005,"Barbour County, AL",20497.111
cty01051,"Elmore County, AL",20468.721
cty01003,"Baldwin County, AL",20397.197
cty01047,"Dallas County, AL",19990.514
cty01097,"Mobile County, AL",19696.58
cty01023,"Choctaw County, AL",19685.277
cty01009,"Blount County, AL",19534.479
cty01083,"Limestone County, AL",19430.643
cty01069,"Houston County, AL",19395.316
cty01039,"Covington County, AL",19353.625
cty01049,"DeKalb County, AL",19155.607
cty01053,"Escambia County, AL",19139.717
cty01093,"Marion County, AL",18972.914
cty01043,"Cullman County, AL",18932.066
cty01077,"Lauderdale County, AL",18902.088
cty01057,"Fayette County, AL",18823.387
cty01055,"Etowah County, AL",18822.301
cty01001,"Autauga County, AL",18579.971
cty01015,"Calhoun County, AL",18513.045
cty01037,"Coosa County, AL",18489.063
cty01033,"Colbert County, AL",18185.615
cty01019,"Cherokee County, AL",17752.811
cty01007,"Bibb County, AL",17488.15
cty01027,"Clay County, AL",
cty01029,"Cleburne County, AL",
cty01095,"Marshall County, AL",18419.75
cty01063,"Greene County, AL",18361.572
cty01071,"Jackson County, AL",18354.748
cty01099,"Monroe County, AL",18042.348
cty01061,"Geneva County, AL",17546.125
cty01059,"Franklin County, AL",16513.637
cty01075,"Lamar County, AL",
cty02020,"Anchorage Municipality, AK",27271.615
cty02170,"Matanuska-Susitna Borough, AK",25542.145
cty04013,"Maricopa County, AZ",24629.027
cty04023,"Santa Cruz County, AZ",24627.535
cty02122,"Kenai Peninsula Borough, AK",24372.678
cty02110,"Juneau City and Borough, AK",23784.746
cty04027,"Yuma County, AZ",23548.684
cty02090,"Fairbanks North Star Borough, AK",23393.75
cty04003,"Cochise County, AZ",22822.428
cty04019,"Pima County, AZ",22796.086
cty01123,"Tallapoosa County, AL",22263.453
cty05017,"Chicot County, AR",22145.254
cty04005,"Coconino County, AZ",22034.971
cty01105,"Perry County, AL",21948.76
cty05005,"Baxter County, AR",21665.371
cty04015,"Mohave County, AZ",21638.318
cty05007,"Benton County, AR",21504.91
cty04025,"Yavapai County, AZ",21281.133
cty01117,"Shelby County, AL",21254.83
cty01113,"Russell County, AL",21247.682
cty05015,"Carroll County, AR",21206.555
cty05009,"Boone County, AR",20980.203
cty02050,"Bethel Census Area, AK",20628.852
cty05001,"Arkansas County, AR",20485.316
cty01125,"Tuscaloosa County, AL",20463.727
cty04021,"Pinal County, AZ",20107.617
cty05021,"Clay County, AR",20088.582
cty01111,"Randolph County, AL",20029.391
cty01107,"Pickens County, AL",19965.219
cty01109,"Pike County, AL",19524.998
cty01119,"Sumter County, AL",19445.777
cty01133,"Winston County, AL",19425.846
cty05019,"Clark County, AR",19393.287
cty01115,"St. Clair County, AL",19308.836
cty01103,"Morgan County, AL",19105.475
cty01121,"Talladega County, AL",18352.201
cty04001,"Apache County, AZ",18205.057
cty04007,"Gila County, AZ",18050.223
cty04009,"Graham County, AZ",17555.432
cty05003,"Ashley County, AR",17539.486
cty04017,"Navajo County, AZ",16930.852
cty01129,"Washington County, AL",16511.65
cty01127,"Walker County, AL",15858.944
cty01131,"Wilcox County, AL",15116.609
cty02130,"Ketchikan Gateway Borough, AK",
cty02150,"Kodiak Island Borough, AK",
cty02188,"Northwest Arctic Borough, AK",
cty02270,,
cty04011,"Greenlee County, AZ",
cty04012,"La Paz County, AZ",
cty05011,"Bradley County, AR",
cty05023,"Cleburne County, AR",20243.924
cty05025,"Cleveland County, AR",
cty05045,"Faulkner County, AR",22018.072
cty05043,"Drew County, AR",21747.654
cty05059,"Hot Spring County, AR",21551.027
cty05061,"Howard County, AR",21279.943
cty05077,"Lee County, AR",21159.061
cty05047,"Franklin County, AR",21150.578
cty05119,"Pulaski County, AR",20940.324
cty05095,"Monroe County, AR",20814.348
cty05107,"Phillips County, AR",20661.615
cty05051,"Garland County, AR",20488.932
cty05053,"Grant County, AR",20484.424
cty05123,"St. Francis County, AR",20360.754
cty05087,"Madison County, AR",20153.926
cty05069,"Jefferson County, AR",20113.488
cty05035,"Crittenden County, AR",19966.68
cty05057,"Hempstead County, AR",19835.738
cty05029,"Conway County, AR",19766.908
cty05121,"Randolph County, AR",19618.127
cty05103,"Ouachita County, AR",19557.678
cty05079,"Lincoln County, AR",19538.697
cty05115,"Pope County, AR",19463.234
cty05031,"Craighead County, AR",19328.123
cty05085,"Lonoke County, AR",19307.734
cty05099,"Nevada County, AR",19260.199
cty05067,"Jackson County, AR",19212.387
cty05063,"Independence County, AR",19087.471
cty05071,"Johnson County, AR",19085.023
cty05041,"Desha County, AR",18826.266
cty05055,"Greene County, AR",18468.805
cty05089,"Marion County, AR",18455.438
cty05049,"Fulton County, AR",18432.563
cty05027,"Columbia County, AR",18152.678
cty05037,"Cross County, AR",18118.275
cty05033,"Crawford County, AR",17469.957
cty05039,"Dallas County, AR",
cty05065,"Izard County, AR",
cty05073,"Lafayette County, AR",
cty05093,"Mississippi County, AR",18081.74
cty05075,"Lawrence County, AR",16443.711
cty05081,"Little River County, AR",
cty05083,"Logan County, AR",18102.551
cty05091,"Miller County, AR",17959.76
cty05097,"Montgomery County, AR",
cty05101,"Newton County, AR",
cty05105,"Perry County, AR",
cty05109,"Pike County, AR",
cty05113,"Polk County, AR",18160.232
cty05111,"Poinsett County, AR",14400.753
cty05117,"Prairie County, AR",
cty05125,"Saline County, AR",20737.621
cty05127,"Scott County, AR",
cty05129,"Searcy County, AR",
cty06075,"San Francisco County, CA",31390.254
cty06041,"Marin County, CA",29491.033
cty06059,"Orange County, CA",28384.43
cty06013,"Contra Costa County, CA",27873.285
cty06001,"Alameda County, CA",27559.098
cty06037,"Los Angeles County, CA",27242.664
cty06055,"Napa County, CA",26470.275
cty06073,"San Diego County, CA",26146.982
cty06067,"Sacramento County, CA",25546.916
cty06053,"Monterey County, CA",25525.102
cty06043,"Mariposa County, CA",25482.791
cty06005,"Amador County, CA",25265.877
cty06017,"El Dorado County, CA",25180.537
cty06061,"Placer County, CA",24833.611
cty06079,"San Luis Obispo County, CA",24544.229
cty06069,"San Benito County, CA",24534.932
cty06057,"Nevada County, CA",24208.525
cty06011,"Colusa County, CA",24142.049
cty06065,"Riverside County, CA",23918.738
cty06033,"Lake County, CA",23695.391
cty06077,"San Joaquin County, CA",23531.193
cty06071,"San Bernardino County, CA",23450.664
cty06025,"Imperial County, CA",22643.117
cty06047,"Merced County, CA",22491.887
cty06023,"Humboldt County, CA",22370
cty06019,"Fresno County, CA",22216.66
cty06045,"Mendocino County, CA",22152.613
cty06029,"Kern County, CA",21731.307
cty06007,"Butte County, CA",21671.074
cty06039,"Madera County, CA",21635.559
cty06031,"Kings County, CA",21594.641
cty06035,"Lassen County, CA",21576.748
cty06009,"Calaveras County, CA",20631.477
cty05135,"Sharp County, AR",20458.672
