cty,Name,Individual_income_For_Children_Born_in_1978_rP_gM_p100
cty01019,"Cherokee County, AL",47566.496
cty01007,"Bibb County, AL",46741.984
cty01053,"Escambia County, AL",45217.742
cty01013,"Butler County, AL",44537.098
cty01047,"Dallas County, AL",43588.563
cty01061,"Geneva County, AL",42636.836
cty01021,"Chilton County, AL",42065.84
cty01025,"Clarke County, AL",41550.289
cty01067,"Henry County, AL",41354.645
cty01009,"Blount County, AL",41051.73
cty01071,"Jackson County, AL",40693.086
cty01091,"Marengo County, AL",40610.102
cty01039,"Covington County, AL",40052.148
cty01045,"Dale County, AL",39933.535
cty01015,"Calhoun County, AL",39751.254
cty01001,"Autauga County, AL",39635.867
cty01069,"Houston County, AL",39595.52
cty01003,"Baldwin County, AL",39377.934
cty01095,"Marshall County, AL",39343.016
cty01079,"Lawrence County, AL",39215.484
cty01083,"Limestone County, AL",39010.973
cty01051,"Elmore County, AL",38990.207
cty01073,"Jefferson County, AL",38905.895
cty01101,"Montgomery County, AL",38792.129
cty01049,"DeKalb County, AL",38773.723
cty01043,"Cullman County, AL",38646.887
cty01017,"Chambers County, AL",38159.773
cty01005,"Barbour County, AL",37204.582
cty01011,"Bullock County, AL",
cty01023,"Choctaw County, AL",
cty01027,"Clay County, AL",
cty01029,"Cleburne County, AL",
cty01033,"Colbert County, AL",38664.305
cty01031,"Coffee County, AL",38255.875
cty01035,"Conecuh County, AL",
cty01037,"Coosa County, AL",
cty01041,"Crenshaw County, AL",
cty01103,"Morgan County, AL",38635.504
cty01097,"Mobile County, AL",38300.379
cty01099,"Monroe County, AL",38172.828
cty01055,"Etowah County, AL",37770.031
cty01057,"Fayette County, AL",
cty01081,"Lee County, AL",37253.031
cty01059,"Franklin County, AL",36254.129
cty01063,"Greene County, AL",
cty01065,"Hale County, AL",
cty01075,"Lamar County, AL",
cty01077,"Lauderdale County, AL",35880.484
cty01085,"Lowndes County, AL",
cty01087,"Macon County, AL",
cty01093,"Marion County, AL",37099.215
cty01089,"Madison County, AL",36579.082
cty01105,"Perry County, AL",
cty01107,"Pickens County, AL",
cty05001,"Arkansas County, AR",44491.84
cty02122,"Kenai Peninsula Borough, AK",43064.781
cty04021,"Pinal County, AZ",43064.559
cty01129,"Washington County, AL",42328.793
cty02170,"Matanuska-Susitna Borough, AK",42321.934
cty04007,"Gila County, AZ",42314.211
cty01121,"Talladega County, AL",42044.016
cty05003,"Ashley County, AR",41354.477
cty02020,"Anchorage Municipality, AK",41085.559
cty01111,"Randolph County, AL",41001.152
cty02130,"Ketchikan Gateway Borough, AK",40772.762
cty02090,"Fairbanks North Star Borough, AK",40180.137
cty04015,"Mohave County, AZ",40128.25
cty04027,"Yuma County, AZ",40063.18
cty04009,"Graham County, AZ",40007.488
cty05009,"Boone County, AR",39553.641
cty04003,"Cochise County, AZ",39206.883
cty04005,"Coconino County, AZ",39147.039
cty04013,"Maricopa County, AZ",39056.766
cty01123,"Tallapoosa County, AL",38966.379
cty01117,"Shelby County, AL",38957.191
cty01109,"Pike County, AL",38933.953
cty05007,"Benton County, AR",38784.512
cty01125,"Tuscaloosa County, AL",38717.852
cty01115,"St. Clair County, AL",37774.898
cty01113,"Russell County, AL",36592.449
cty01119,"Sumter County, AL",
cty01127,"Walker County, AL",37649.313
cty01131,"Wilcox County, AL",
cty01133,"Winston County, AL",
cty02050,"Bethel Census Area, AK",
cty02110,"Juneau City and Borough, AK",38891.457
cty05015,"Carroll County, AR",36897.102
cty02150,"Kodiak Island Borough, AK",33904.426
cty02188,"Northwest Arctic Borough, AK",
cty02270,,
cty04019,"Pima County, AZ",37601.898
cty04025,"Yavapai County, AZ",37293.738
cty04023,"Santa Cruz County, AZ",37167.473
cty04001,"Apache County, AZ",26975.377
cty04011,"Greenlee County, AZ",
cty04012,"La Paz County, AZ",
cty05019,"Clark County, AR",38824.945
cty04017,"Navajo County, AZ",37321.926
cty05005,"Baxter County, AR",36314.051
cty05011,"Bradley County, AR",
cty05017,"Chicot County, AR",
cty05021,"Clay County, AR",
cty05023,"Cleburne County, AR",37364.277
cty05025,"Cleveland County, AR",
cty05029,"Conway County, AR",44716.957
cty05027,"Columbia County, AR",43107.129
cty05111,"Poinsett County, AR",42375.895
cty05091,"Miller County, AR",40448.645
cty05053,"Grant County, AR",40405.188
cty05093,"Mississippi County, AR",40391.102
cty05057,"Hempstead County, AR",39913.684
cty05055,"Greene County, AR",39330.031
cty05045,"Faulkner County, AR",38906.262
cty05115,"Pope County, AR",38596.574
cty05033,"Crawford County, AR",38187.777
cty05037,"Cross County, AR",38047.789
cty05051,"Garland County, AR",37722.242
cty05069,"Jefferson County, AR",37223.148
cty05035,"Crittenden County, AR",37000.414
cty05031,"Craighead County, AR",34542.363
cty05039,"Dallas County, AR",
cty05041,"Desha County, AR",
cty05119,"Pulaski County, AR",36925.867
cty05063,"Independence County, AR",36656.953
cty05043,"Drew County, AR",34960.832
cty05047,"Franklin County, AR",
cty05049,"Fulton County, AR",
cty05059,"Hot Spring County, AR",35478.813
cty05061,"Howard County, AR",
cty05065,"Izard County, AR",
cty05067,"Jackson County, AR",
cty05071,"Johnson County, AR",35264.641
cty05073,"Lafayette County, AR",
cty05075,"Lawrence County, AR",
cty05077,"Lee County, AR",
cty05079,"Lincoln County, AR",
cty05081,"Little River County, AR",
cty05083,"Logan County, AR",42629.953
cty05085,"Lonoke County, AR",38135.32
cty05087,"Madison County, AR",
cty05089,"Marion County, AR",
cty05095,"Monroe County, AR",
cty05097,"Montgomery County, AR",
cty05099,"Nevada County, AR",
cty05101,"Newton County, AR",
cty05107,"Phillips County, AR",39006.016
cty05103,"Ouachita County, AR",36075.25
cty05105,"Perry County, AR",
cty05109,"Pike County, AR",
cty05113,"Polk County, AR",
cty05117,"Prairie County, AR",
cty05121,"Randolph County, AR",
cty05123,"St. Francis County, AR",
cty05125,"Saline County, AR",37921.441
cty05127,"Scott County, AR",
cty05129,"Searcy County, AR",
cty06033,"Lake County, CA",39567.672
cty05131,"Sebastian County, AR",37900.48
cty05133,"Sevier County, AR",
cty05135,"Sharp County, AR",
cty05137,"Stone County, AR",
cty05139,"Union County, AR",39454.465
cty05141,"Van Buren County, AR",
cty06035,"Lassen County, CA",42981.266
cty06027,"Inyo County, CA",42501.242
cty06029,"Kern County, CA",40850.828
cty05145,"White County, AR",40588.285
cty06039,"Madera County, CA",39706.922
cty06009,"Calaveras County, CA",39621.457
cty06025,"Imperial County, CA",39393.66
cty06061,"Placer County, CA",38986.531
cty06055,"Napa County, CA",38919.664
cty06043,"Mariposa County, CA",38908.871
cty06017,"El Dorado County, CA",38803.996
cty06077,"San Joaquin County, CA",38357.16
cty06071,"San Bernardino County, CA",38267.906
cty06069,"San Benito County, CA",38193.395
cty06041,"Marin County, CA",38130.684
cty06023,"Humboldt County, CA",38087.789
cty06005,"Amador County, CA",37986.016
cty06059,"Orange County, CA",37901.594
cty06075,"San Francisco County, CA",37765.074
cty06001,"Alameda County, CA",37725.316
cty06067,"Sacramento County, CA",37647.922
cty06073,"San Diego County, CA",37534.129
cty06065,"Riverside County, CA",37512.77
cty06053,"Monterey County, CA",37255.371
cty05143,"Washington County, AR",37109.809
cty05147,"Woodruff County, AR",
cty06013,"Contra Costa County, CA",38696.016
cty06019,"Fresno County, CA",37732.023
cty06031,"Kings County, CA",37416.238
cty06079,"San Luis Obispo County, CA",37152.453
cty06057,"Nevada County, CA",36969.145
cty06021,"Glenn County, CA",36826.133
cty06047,"Merced County, CA",36698.992
cty06037,"Los Angeles County, CA",36697.086
cty06045,"Mendocino County, CA",36010.395
cty06015,"Del Norte County, CA",35624.781
cty06011,"Colusa County, CA",35550.598
cty05149,"Yell County, AR",35448.629
cty06007,"Butte County, CA",34881.988
cty06049,"Modoc County, CA",
cty08029,"Delta County, CO",44513.422
cty08081,"Moffat County, CO",44349.762
cty08087,"Morgan County, CO",43690.211
cty08083,"Montezuma County, CO",41966.23
cty08045,"Garfield County, CO",41916.551
cty06115,"Yuba County, CA",40865.047
cty08077,"Mesa County, CO",40663.25
cty08014,"Broomfield County, CO",40433.82
cty08001,"Adams County, CO",40267.199
