cty,Name,Individual_income_For_Children_Born_in_1978_rP_gM_p100
cty08089,"Otero County, CO",40226.902
cty08035,"Douglas County, CO",39821.836
cty08015,"Chaffee County, CO",39766.523
cty08005,"Arapahoe County, CO",39714.023
cty06109,"Tuolumne County, CA",39656.801
cty08059,"Jefferson County, CO",39602.824
cty06081,"San Mateo County, CA",39306.645
cty08043,"Fremont County, CO",39173.313
cty08067,"La Plata County, CO",38879.273
cty06095,"Solano County, CA",38618.098
cty08085,"Montrose County, CO",38525.273
cty06111,"Ventura County, CA",38454.531
cty08075,"Logan County, CO",38430.59
cty08039,"Elbert County, CO",38381.367
cty08041,"El Paso County, CO",38270.82
cty08003,"Alamosa County, CO",38267.875
cty06107,"Tulare County, CA",38170.285
cty06101,"Sutter County, CA",38107.465
cty06093,"Siskiyou County, CA",38091.086
cty06097,"Sonoma County, CA",38024.98
cty06113,"Yolo County, CA",37916.754
cty06089,"Shasta County, CA",37867.035
cty08013,"Boulder County, CO",37432.348
cty06085,"Santa Clara County, CA",37249.43
cty06083,"Santa Barbara County, CA",37120.621
cty06087,"Santa Cruz County, CA",36728.113
cty06099,"Stanislaus County, CA",36600.844
cty06103,"Tehama County, CA",35350.258
cty06105,"Trinity County, CA",
cty08007,"Archuleta County, CO",
cty08011,"Bent County, CO",
cty08021,"Conejos County, CO",
cty08093,"Park County, CO",38161.41
cty08069,"Larimer County, CO",37284.754
cty08031,"Denver County, CO",36681.375
cty08099,"Prowers County, CO",36543.461
cty08037,"Eagle County, CO",31979.68
cty08051,"Gunnison County, CO",
cty08055,"Huerfano County, CO",
cty08063,"Kit Carson County, CO",
cty08065,"Lake County, CO",
cty08071,"Las Animas County, CO",
cty08101,"Pueblo County, CO",37612.949
cty08105,"Rio Grande County, CO",
cty09013,"Tolland County, CT",43723.301
cty12003,"Baker County, FL",43081.297
cty09009,"New Haven County, CT",42123.207
cty09005,"Litchfield County, CT",41612.914
cty10005,"Sussex County, DE",41135.523
cty10001,"Kent County, DE",40877.844
cty12007,"Bradford County, FL",38672.648
cty08119,"Teller County, CO",33879.977
cty08121,"Washington County, CO",
cty08123,"Weld County, CO",38331.016
cty08125,"Yuma County, CO",
cty09003,"Hartford County, CT",42555.289
cty09011,"New London County, CT",42392.07
cty09007,"Middlesex County, CT",42318.406
cty09001,"Fairfield County, CT",42309.703
cty09015,"Windham County, CT",41706.316
cty12063,"Jackson County, FL",41404.043
cty10003,"New Castle County, DE",41097.781
cty12051,"Hendry County, FL",40779.051
cty12027,"DeSoto County, FL",39498.598
cty12021,"Collier County, FL",39160.586
cty12017,"Citrus County, FL",38410.109
cty12015,"Charlotte County, FL",38139.098
cty12035,"Flagler County, FL",38128.188
cty12057,"Hillsborough County, FL",37915.43
cty12023,"Columbia County, FL",37809.332
cty12011,"Broward County, FL",37573.234
cty12031,"Duval County, FL",37288.387
cty12055,"Highlands County, FL",37106.957
cty12019,"Clay County, FL",36998.637
cty12049,"Hardee County, FL",36563.598
cty12033,"Escambia County, FL",36512.215
cty12009,"Brevard County, FL",36412.102
cty12005,"Bay County, FL",36186.648
cty12001,"Alachua County, FL",36082.047
cty11001,"District of Columbia, DC",35694.188
cty12013,"Calhoun County, FL",
cty12029,"Dixie County, FL",
cty12037,"Franklin County, FL",
cty12039,"Gadsden County, FL",35663.531
cty12041,"Gilchrist County, FL",
cty12043,"Glades County, FL",
cty12045,"Gulf County, FL",
cty12047,"Hamilton County, FL",
cty12053,"Hernando County, FL",35340.703
cty12059,"Holmes County, FL",
cty12061,"Indian River County, FL",35877.555
cty12065,"Jefferson County, FL",
cty12067,"Lafayette County, FL",
cty12119,"Sumter County, FL",43119.652
cty13033,"Burke County, GA",42538.289
cty12121,"Suwannee County, FL",40637.41
cty13015,"Bartow County, GA",39394.977
cty12107,"Putnam County, FL",39289.25
cty12083,"Marion County, FL",39142.434
cty13031,"Bulloch County, GA",38874.199
cty12105,"Polk County, FL",38794.082
cty12117,"Seminole County, FL",38618.754
cty12071,"Lee County, FL",38403.348
cty12081,"Manatee County, FL",38344.496
cty12133,"Washington County, FL",38277.465
cty13021,"Bibb County, GA",38243.43
cty12091,"Okaloosa County, FL",38195.527
cty13029,"Bryan County, GA",38162.938
cty12115,"Sarasota County, FL",38122.672
cty12123,"Taylor County, FL",38073.426
cty13013,"Barrow County, GA",37651.023
cty12085,"Martin County, FL",37641.125
cty12099,"Palm Beach County, FL",37496.891
cty12086,"Miami-Dade County, FL",37262.68
cty12113,"Santa Rosa County, FL",37214.469
cty12127,"Volusia County, FL",37213.688
cty12101,"Pasco County, FL",37173.359
cty12111,"St. Lucie County, FL",37166.301
cty12109,"St. Johns County, FL",36878.738
cty12103,"Pinellas County, FL",36870.148
cty12093,"Okeechobee County, FL",36745.246
cty12131,"Walton County, FL",36742.523
cty12069,"Lake County, FL",36717.68
cty13035,"Butts County, GA",36274.469
cty13001,"Appling County, GA",36177.793
cty12073,"Leon County, FL",36129.844
cty12129,"Wakulla County, FL",36007.098
cty12075,"Levy County, FL",34836.895
cty12077,"Liberty County, FL",
cty12079,"Madison County, FL",
cty12095,"Orange County, FL",36615.039
cty13009,"Baldwin County, GA",36154.082
cty12097,"Osceola County, FL",35976.207
cty12089,"Nassau County, FL",35663.531
cty12087,"Monroe County, FL",35205.387
cty12125,"Union County, FL",
cty13003,"Atkinson County, GA",
cty13005,"Bacon County, GA",
cty13011,"Banks County, GA",
cty13017,"Ben Hill County, GA",
cty13019,"Berrien County, GA",35754.68
cty13023,"Bleckley County, GA",
cty13025,"Brantley County, GA",
cty13027,"Brooks County, GA",
cty13039,"Camden County, GA",36567.82
cty13043,"Candler County, GA",
cty13143,"Haralson County, GA",43618.922
cty13137,"Habersham County, GA",41716.809
cty13103,"Effingham County, GA",41483.645
cty13045,"Carroll County, GA",40943.109
cty13117,"Forsyth County, GA",40035.203
cty13135,"Gwinnett County, GA",39821.184
cty13113,"Fayette County, GA",39695.121
cty13053,"Chattahoochee County, GA",38782.984
cty13129,"Gordon County, GA",38633.238
cty13147,"Hart County, GA",38483.629
cty13067,"Cobb County, GA",38453.426
cty13097,"Douglas County, GA",38331.516
cty13057,"Cherokee County, GA",38114.238
cty13063,"Clayton County, GA",38044.09
cty13047,"Catoosa County, GA",36577.754
cty13049,"Charlton County, GA",
cty13055,"Chattooga County, GA",38505.008
cty13119,"Franklin County, GA",37913.297
cty13077,"Coweta County, GA",37585.625
cty13145,"Harris County, GA",37548.715
cty13121,"Fulton County, GA",37512.824
cty13087,"Decatur County, GA",37352.32
cty13139,"Hall County, GA",36990.738
cty13115,"Floyd County, GA",36835.195
cty13123,"Gilmer County, GA",36453.633
cty13073,"Columbia County, GA",36237.867
cty13107,"Emanuel County, GA",36068.188
cty13051,"Chatham County, GA",35856.047
cty13081,"Crisp County, GA",35390.988
cty13071,"Colquitt County, GA",35242.078
cty13059,"Clarke County, GA",35107.559
cty06063,"Plumas County, CA",33938.324
cty13065,"Clinch County, GA",
cty13069,"Coffee County, GA",34984.953
cty13075,"Cook County, GA",
cty13079,"Crawford County, GA",
cty13083,"Dade County, GA",
cty13131,"Grady County, GA",35964.988
cty13095,"Dougherty County, GA",35468.641
cty13089,"DeKalb County, GA",34378.254
cty13085,"Dawson County, GA",31335.291
cty13091,"Dodge County, GA",
cty13093,"Dooly County, GA",
cty13099,"Early County, GA",
cty13105,"Elbert County, GA",35674.508
cty13109,"Evans County, GA",
cty13111,"Fannin County, GA",
cty13127,"Glynn County, GA",36012.805
cty13133,"Greene County, GA",
cty13141,"Hancock County, GA",
cty13149,"Heard County, GA",
cty13153,"Houston County, GA",39435.797
cty13151,"Henry County, GA",38085.953
cty13155,"Irwin County, GA",
cty13157,"Jackson County, GA",37478.18
cty13159,"Jasper County, GA",
cty13161,"Jeff Davis County, GA",
cty13163,"Jefferson County, GA",
cty13165,"Jenkins County, GA",
cty13167,"Johnson County, GA",
cty13231,"Pike County, GA",46911.41
cty13199,"Meriwether County, GA",40668.75
cty13227,"Pickens County, GA",40665.238
cty13233,"Polk County, GA",38955.336
cty13223,"Paulding County, GA",38692.93
cty13175,"Laurens County, GA",38347.313
cty13179,"Liberty County, GA",37872.434
cty13225,"Peach County, GA",37716.52
cty13247,"Rockdale County, GA",37597.996
cty13169,"Jones County, GA",37341.027
cty13215,"Muscogee County, GA",37233.727
cty13219,"Oconee County, GA",37048.172
cty13211,"Morgan County, GA",36733.566
cty13189,"McDuffie County, GA",36523.523
cty13171,"Lamar County, GA",36406.117
cty13173,"Lanier County, GA",
cty13177,"Lee County, GA",36100.684
cty13181,"Lincoln County, GA",
cty13183,"Long County, GA",
cty13185,"Lowndes County, GA",36620.93
cty13195,"Madison County, GA",36316.219
cty13217,"Newton County, GA",34988.578
cty13213,"Murray County, GA",33835.777
cty13237,"Putnam County, GA",33527.129
cty13187,"Lumpkin County, GA",32686.389
cty13191,"McIntosh County, GA",
cty13193,"Macon County, GA",
cty13197,"Marion County, GA",
cty13201,"Miller County, GA",
cty13205,"Mitchell County, GA",
cty13207,"Monroe County, GA",35471.75
cty13209,"Montgomery County, GA",
cty13221,"Oglethorpe County, GA",
cty13229,"Pierce County, GA",
cty13235,"Pulaski County, GA",
cty13241,"Rabun County, GA",
cty13243,"Randolph County, GA",
cty13255,"Spalding County, GA",38004.758
cty13245,"Richmond County, GA",33469.141
cty13251,"Screven County, GA",
cty13253,"Seminole County, GA",
cty13257,"Stephens County, GA",37520.645
cty13261,"Sumter County, GA",35223.273
cty13263,"Talbot County, GA",
cty13267,"Tattnall County, GA",
cty13269,"Taylor County, GA",
cty13271,"Telfair County, GA",
cty13273,"Terrell County, GA",
cty13297,"Walton County, GA",43519.105
cty15007,"Kauai County, HI",42385.906
cty13299,"Ware County, GA",41535.809
cty13305,"Wayne County, GA",40368.16
cty13285,"Troup County, GA",40245.586
cty16011,"Bingham County, ID",39911.406
cty15009,"Maui County, HI",39330.07
cty16029,"Caribou County, ID",38749.867
cty13313,"Whitfield County, GA",38260.461
cty16039,"Elmore County, ID",38207.859
cty15003,"Honolulu County, HI",38086.898
cty13321,"Worth County, GA",37931.77
cty13303,"Washington County, GA",37917.59
cty16027,"Canyon County, ID",37820.355
cty13275,"Thomas County, GA",36732.652
cty13279,"Toombs County, GA",35668.484
cty13277,"Tift County, GA",33470.938
cty13281,"Towns County, GA",
cty13283,"Treutlen County, GA",
cty13287,"Turner County, GA",
cty13289,"Twiggs County, GA",
cty13291,"Union County, GA",
cty15001,"Hawaii County, HI",36429.156
cty13293,"Upson County, GA",35924.406
cty16047,"Gooding County, ID",35793.219
cty16001,"Ada County, ID",35514.879
cty16031,"Cassia County, ID",35201.988
cty16019,"Bonneville County, ID",34686.855
cty16017,"Bonner County, ID",34675.02
cty13295,"Walker County, GA",34615.703
cty13301,"Warren County, GA",
cty13311,"White County, GA",34259.758
cty13315,"Wilcox County, GA",
cty13317,"Wilkes County, GA",
cty13319,"Wilkinson County, GA",
cty16005,"Bannock County, ID",34193.367
cty16007,"Bear Lake County, ID",
cty16009,"Benewah County, ID",
cty16021,"Boundary County, ID",
cty16035,"Clearwater County, ID",
cty16041,"Franklin County, ID",33141.906
cty16043,"Fremont County, ID",
cty16045,"Gem County, ID",40487.051
cty16049,"Idaho County, ID",
cty17027,"Clinton County, IL",47746.039
cty17061,"Greene County, IL",45282.027
cty17049,"Effingham County, IL",44715.574
cty17023,"Clark County, IL",44460.43
cty17073,"Henry County, IL",44397.871
cty17051,"Fayette County, IL",44269.953
cty17001,"Adams County, IL",44062.285
cty17043,"DuPage County, IL",43042.684
cty17067,"Hancock County, IL",43010.711
cty17011,"Bureau County, IL",42834.516
cty17037,"DeKalb County, IL",42271.848
cty17031,"Cook County, IL",41209.195
cty16067,"Minidoka County, ID",40145.578
cty17019,"Champaign County, IL",40092.902
cty17007,"Boone County, IL",39990.59
cty16053,"Jerome County, ID",39447.855
cty17039,"De Witt County, IL",39350.59
cty17081,"Jefferson County, IL",39244.703
cty16055,"Kootenai County, ID",38950.148
cty17055,"Franklin County, IL",38758.301
cty17077,"Jackson County, IL",38010.945
cty17015,"Carroll County, IL",37723.742
cty17005,"Bond County, IL",36662.508
cty16051,"Jefferson County, ID",36617.453
cty16057,"Latah County, ID",35367.383
cty16059,"Lemhi County, ID",
cty16069,"Nez Perce County, ID",36236.105
cty16065,"Madison County, ID",33172.363
cty16071,"Oneida County, ID",
cty16073,"Owyhee County, ID",
cty17075,"Iroquois County, IL",45739.527
cty17063,"Grundy County, IL",45190.465
cty17053,"Ford County, IL",44859.895
cty17045,"Edgar County, IL",44410.309
cty17041,"Douglas County, IL",42606.602
cty16075,"Payette County, ID",36723.34
cty16077,"Power County, ID",
cty16079,"Shoshone County, ID",
cty17057,"Fulton County, IL",43834.184
cty17033,"Crawford County, IL",42715.766
cty16083,"Twin Falls County, ID",35997.52
cty16087,"Washington County, ID",
cty17003,"Alexander County, IL",
cty17025,"Clay County, IL",45518.395
cty17017,"Cass County, IL",41878.996
cty17021,"Christian County, IL",40124.863
cty17029,"Coles County, IL",38008.137
cty17035,"Cumberland County, IL",
cty17047,"Edwards County, IL",
cty17065,"Hamilton County, IL",
cty17079,"Jasper County, IL",
cty17135,"Montgomery County, IL",49152.027
cty17123,"Marshall County, IL",48903.59
cty17105,"Livingston County, IL",45606.898
cty17107,"Logan County, IL",44875.801
cty17131,"Mercer County, IL",44760.105
cty17157,"Randolph County, IL",44494.512
cty17189,"Washington County, IL",44171.648
cty17093,"Kendall County, IL",44102.375
cty17101,"Lawrence County, IL",43973.465
cty17127,"Massac County, IL",43772.574
cty17165,"Saline County, IL",43517.629
cty17139,"Moultrie County, IL",43450.816
cty17187,"Warren County, IL",43436.785
cty17099,"LaSalle County, IL",43056.617
cty17125,"Mason County, IL",42850.879
cty17173,"Shelby County, IL",42818.094
cty17117,"Macoupin County, IL",42454.215
cty17177,"Stephenson County, IL",42426.395
cty17091,"Kankakee County, IL",42317.348
cty17179,"Tazewell County, IL",42176
cty17133,"Monroe County, IL",42143.504
cty17097,"Lake County, IL",42132.898
cty17185,"Wabash County, IL",42087.938
cty17149,"Pike County, IL",42087.484
cty17159,"Richland County, IL",41965.984
cty17111,"McHenry County, IL",41922.008
cty17095,"Knox County, IL",41623.488
cty17089,"Kane County, IL",41523.125
cty17115,"Macon County, IL",41499.734
cty17103,"Lee County, IL",41450.086
cty17113,"McLean County, IL",41263.281
cty17143,"Peoria County, IL",41181.434
cty17163,"St. Clair County, IL",41100.82
cty17129,"Menard County, IL",40978.727
cty17161,"Rock Island County, IL",40884.98
cty17085,"Jo Daviess County, IL",40841.813
cty17147,"Piatt County, IL",39803.891
cty17083,"Jersey County, IL",36034.863
cty17087,"Johnson County, IL",
cty17145,"Perry County, IL",40540.633
cty17183,"Vermilion County, IL",40501.047
cty17119,"Madison County, IL",40351.367
cty17167,"Sangamon County, IL",39496.91
cty17141,"Ogle County, IL",39317.457
cty17121,"Marion County, IL",39153.895
cty17181,"Union County, IL",38969.133
cty17109,"McDonough County, IL",38434.645
cty17137,"Morgan County, IL",36261.754
cty17153,"Pulaski County, IL",
cty17169,"Schuyler County, IL",
cty17171,"Scott County, IL",
cty18001,"Adams County, IN",47069.754
cty18037,"Dubois County, IN",47057.453
cty18007,"Benton County, IN",46371.539
cty17203,"Woodford County, IL",46353.539
cty18051,"Gibson County, IN",46315.789
cty18015,"Carroll County, IN",44579.488
cty17195,"Whiteside County, IL",44447.805
cty17191,"Wayne County, IL",44188.875
cty18049,"Fulton County, IN",44076.652
cty18047,"Franklin County, IN",43955.98
cty18045,"Fountain County, IN",43575.91
cty17197,"Will County, IL",43221.395
cty18073,"Jasper County, IN",43147.891
cty18059,"Hancock County, IN",42560.762
cty18083,"Knox County, IN",42355.941
cty18055,"Greene County, IN",42270.051
cty18011,"Boone County, IN",42167.199
cty18063,"Hendricks County, IN",42029.457
cty18085,"Kosciusko County, IN",41941.258
cty18071,"Jackson County, IN",41920.277
cty18029,"Dearborn County, IN",41741.133
cty18033,"DeKalb County, IN",41573.34
cty18027,"Daviess County, IN",41287.59
cty18069,"Huntington County, IN",41095.734
cty18057,"Hamilton County, IN",40984.664
cty17193,"White County, IL",40959.047
cty18023,"Clinton County, IN",40852.508
cty18017,"Cass County, IN",40748.059
cty18081,"Johnson County, IN",40722.5
cty18065,"Henry County, IN",40694.941
cty18043,"Floyd County, IN",40572.23
cty18005,"Bartholomew County, IN",40562.316
cty18061,"Harrison County, IN",40547.938
cty18075,"Jay County, IN",40394.363
cty18003,"Allen County, IN",40386.246
cty18021,"Clay County, IN",40261.207
cty18013,"Brown County, IN",40211.754
cty18031,"Decatur County, IN",40119.605
cty18077,"Jefferson County, IN",39744.828
cty18087,"LaGrange County, IN",39638.285
cty18039,"Elkhart County, IN",39594.844
cty18079,"Jennings County, IN",39455.859
cty17201,"Winnebago County, IL",39144.965
cty18019,"Clark County, IN",38880.254
cty18053,"Grant County, IN",38447.996
cty18035,"Delaware County, IN",37934.348
cty18041,"Fayette County, IN",36824.492
cty17199,"Williamson County, IL",36576.688
cty18009,"Blackford County, IN",34976.859
cty18025,"Crawford County, IN",
cty18147,"Spencer County, IN",53865.371
cty18123,"Perry County, IN",49540.121
cty18153,"Sullivan County, IN",46381.184
cty18129,"Posey County, IN",45808.25
cty18111,"Newton County, IN",44924.711
cty18137,"Ripley County, IN",44770.535
cty18159,"Tipton County, IN",44306.27
cty18169,"Wabash County, IN",43100.336
cty18165,"Vermillion County, IN",43032.578
cty19005,"Allamakee County, IA",42978.793
cty18149,"Starke County, IN",42421.234
cty18163,"Vanderburgh County, IN",42282.078
cty18173,"Warrick County, IN",42058.664
cty18135,"Randolph County, IN",41747.711
cty18145,"Shelby County, IN",41732.617
cty18099,"Marshall County, IN",41686.258
cty18127,"Porter County, IN",41512.863
cty18183,"Whitley County, IN",41306.914
cty18117,"Orange County, IN",41301.121
cty18109,"Morgan County, IN",41142.348
cty18131,"Pulaski County, IN",41071.766
cty18141,"St. Joseph County, IN",41048.203
cty18139,"Rush County, IN",40995.414
cty18179,"Wells County, IN",40934.926
cty18107,"Montgomery County, IN",40603.551
cty18151,"Steuben County, IN",40583.867
cty18157,"Tippecanoe County, IN",40491.207
cty18089,"Lake County, IN",40401.852
cty18167,"Vigo County, IN",40344.883
cty18121,"Parke County, IN",39926.746
cty18181,"White County, IN",39860.289
cty18119,"Owen County, IN",39799.098
cty18091,"LaPorte County, IN",39497.203
cty18097,"Marion County, IN",39293.25
cty18177,"Wayne County, IN",38935.633
cty18175,"Washington County, IN",38706.668
cty18103,"Miami County, IN",38584.406
cty18133,"Putnam County, IN",38514.172
cty18093,"Lawrence County, IN",38469.219
cty18113,"Noble County, IN",38436.816
cty18095,"Madison County, IN",37739.824
cty18067,"Howard County, IN",34842.746
cty18101,"Martin County, IN",
cty18105,"Monroe County, IN",36062.285
cty18115,"Ohio County, IN",
cty18125,"Pike County, IN",
cty18143,"Scott County, IN",35978.949
cty18155,"Switzerland County, IN",
cty18161,"Union County, IN",
cty18171,"Warren County, IN",
cty19001,"Adair County, IA",
cty19007,"Appanoose County, IA",
cty19009,"Audubon County, IA",
cty19025,"Calhoun County, IA",48920
cty19105,"Jones County, IA",48647.297
cty19077,"Guthrie County, IA",46680.844
cty19027,"Carroll County, IA",46585.832
cty19095,"Iowa County, IA",46398.945
cty19067,"Floyd County, IA",46162.598
cty19055,"Delaware County, IA",45482.078
cty19023,"Butler County, IA",45477.535
cty19069,"Franklin County, IA",45471.273
cty19021,"Buena Vista County, IA",45455.977
cty19017,"Bremer County, IA",45113.348
cty19019,"Buchanan County, IA",45002.508
